,平成21年度(千円),平成22年度(千円),平成23年度(千円),平成24年度(千円),平成25年度上半期(千円)
住宅リフォームに関する相談全体,2175,2616,2967,2549,1975
うち店舗購入,2920,3817,4586,3833,2872
うち訪問販売,1378,1494,1523,1519,1240
