,平成22年度（797件）,平成22年度件数,平成23年度（689件）,平成23年度件数,平成24年度（692件）,平成24年度件数,平成25年度（599件）,平成25年度件数,平成26年度上半期（391件）,平成26年度上半期件数
1,電話勧誘,258,解約一般,190,解約一般,203,解約一般,202,解約一般,145
2,解約一般,237,電話勧誘,186,説明不足,132,電話勧誘,146,電話勧誘,94
3,説明不足,163,説明不足,145,電話勧誘,126,説明不足,119,説明不足,88
4,家庭訪販,109,家庭訪販,114,家庭訪販,99,家庭訪販,93,家庭訪販,62
5,強引,101,強引,80,契約,89,契約書・書面一般,77,契約,48
