,n,家でテレビ観戦したい（％）,チケットを購入してスタジアムで観戦したい（％）,入場無料の公共の場における大型スクリーン放映（パブリックビューイング）で観戦したい（％）,スポーツバーで観戦したい（％）,スマートフォンやＰＣ等でインターネット観戦したい（％）,観戦したいと思わない（％）,わからない（％）
全体,1820,63.2,13.6,6.3,4.1,3.1,23.1,6.5
エリア別区部（計）,1184,64.4,14.2,7.0,4.8,3.5,21.7,5.9
エリア別区部センター・コア,297,59.3,14.5,7.7,5.4,2.4,24.6,7.1
エリア別区部区部東部・北部,381,64.3,13.1,10.0,5.2,3.1,22.8,5.5
エリア別区部区部西部・南部,506,67.4,14.8,4.3,4.2,4.5,19.2,5.5
エリア別市町村部（計）,636,61.2,12.4,4.9,2.7,2.2,25.6,7.5
エリア別市町村部多摩東部,236,61.0,14.8,3.0,3.4,3.0,23.7,8.1
エリア別市町村部多摩中央部北,99,55.6,11.1,4.0,3.0,1.0,29.3,10.1
エリア別市町村部多摩中央部南,263,63.9,12.2,6.8,2.3,1.9,26.2,4.9
エリア別市町村部多摩西部・島しょ,38,57.9,2.6,5.3,,2.6,23.7,15.8
性・年齢別男性（計）,868,64.2,17.9,6.8,5.5,4.3,21.8,5.4
性・年齢別男性18・19歳,17,58.8,,11.8,5.9,,35.3,
性・年齢別男性20代,87,55.2,16.1,8.0,10.3,9.2,28.7,2.3
性・年齢別男性30代,113,55.8,16.8,8.0,11.5,2.7,27.4,7.1
性・年齢別男性40代,168,63.1,20.8,5.4,8.3,6.0,18.5,7.7
性・年齢別男性50代,175,68.0,22.9,9.7,4.0,4.6,18.9,4.0
性・年齢別男性60代,156,71.8,18.6,3.2,1.9,4.5,18.6,2.6
性・年齢別男性70歳以上,152,65.1,11.8,6.6,0.7,0.7,22.4,8.6
性・年齢別女性（計）,952,62.4,9.7,5.8,2.7,2.0,24.3,7.5
性・年齢別女性18・19歳,13,15.4,23.1,7.7,7.7,15.4,46.2,7.7
性・年齢別女性20代,94,59.6,5.3,5.3,8.5,2.1,27.7,7.4
性・年齢別女性30代,113,59.3,10.6,10.6,5.3,2.7,26.5,6.2
性・年齢別女性40代,199,64.3,10.6,6.5,1.5,1.0,22.1,5.0
性・年齢別女性50代,181,64.1,19.9,7.2,4.4,3.3,20.4,8.3
性・年齢別女性60代,156,68.6,1.9,3.8,,1.9,25.0,5.1
性・年齢別女性70歳以上,196,60.2,6.1,2.6,,0.5,25.0,11.7
