,n,ラグビーの国際試合を都内で開催する（％）,ホームページやＳＮＳ（フェイスブック、ツイッターなど）を通じた情報発信を強化する（％）,ラグビーの国際試合を、入場無料の公共の場における大型スクリーン（パブリックビューイング）で放映する（％）,選手とのふれあいの機会を設ける（％）,ＰＲグッズを作成・配布する（％）,ラグビーの普及啓発・教育活動を推進する（％）,横断幕やフラッグ等による街頭装飾・演出（シティドレッシング）を行う（％）,大会時のボランティアを募集する（％）,ラグビー以外のスポーツイベントで、展示ブースを設けて大会をＰＲする（％）,カウントダウンイベントを開催する（％）,その他（％）,わからない（％）
全体,1820,32.4,28.8,24.8,19.7,19.6,17.4,15.7,12.2,12.0,7.4,4.5,26.4
エリア別区部（計）,1184,32.9,29.7,25.5,19.5,20.6,17.0,15.2,12.0,12.2,7.9,4.4,25.2
エリア別区部センター・コア,297,30.6,29.0,24.2,16.8,15.2,15.2,16.2,9.8,11.8,6.7,5.4,28.6
エリア別区部区部東部・北部,381,27.6,27.0,23.9,17.3,21.8,17.6,13.6,8.1,11.8,8.1,4.5,25.5
エリア別区部区部西部・南部,506,38.1,32.2,27.5,22.7,22.9,17.6,15.8,16.2,12.8,8.5,3.8,22.9
エリア別市町村部（計）,636,31.6,27.2,23.4,20.0,17.8,18.1,16.5,12.6,11.5,6.3,4.6,28.6
エリア別市町村部多摩東部,236,35.2,30.9,23.3,26.3,19.9,20.8,14.8,16.1,13.6,9.3,5.1,23.3
エリア別市町村部多摩中央部北,99,23.2,21.2,21.2,14.1,12.1,17.2,14.1,4.0,11.1,4.0,6.1,32.3
エリア別市町村部多摩中央部南,263,31.9,25.9,24.0,16.7,19.0,17.5,19.4,12.5,9.9,4.9,3.4,30.8
エリア別市町村部多摩西部・島しょ,38,28.9,28.9,26.3,18.4,10.5,7.9,13.2,13.2,10.5,2.6,5.3,36.8
性・年齢別男性（計）,868,37.4,28.2,27.3,20.0,21.1,20.2,15.2,9.7,11.8,6.7,5.9,23.4
性・年齢別男性18・19歳,17,35.3,23.5,35.3,11.8,29.4,17.6,17.6,11.8,5.9,11.8,11.8,11.8
性・年齢別男性20代,87,31.0,33.3,33.3,20.7,20.7,18.4,12.6,6.9,12.6,4.6,4.6,18.4
性・年齢別男性30代,113,39.8,30.1,28.3,29.2,22.1,27.4,21.2,9.7,16.8,4.4,9.7,15.0
性・年齢別男性40代,168,36.3,39.3,40.5,27.4,31.0,19.0,23.2,13.7,14.3,7.7,6.5,16.1
性・年齢別男性50代,175,44.6,28.6,24.6,22.3,23.4,22.9,16.6,10.3,10.3,9.7,3.4,19.4
性・年齢別男性60代,156,36.5,26.3,21.8,12.2,17.3,23.7,9.0,7.1,10.3,8.3,5.8,27.6
性・年齢別男性70歳以上,152,33.6,13.8,16.4,11.2,9.9,10.5,7.9,8.6,8.6,2.6,5.3,42.1
性・年齢別女性（計）,952,27.8,29.4,22.5,19.3,18.3,14.8,16.1,14.5,12.2,8.0,3.2,29.1
性・年齢別女性18・19歳,13,23.1,61.5,23.1,23.1,15.4,30.8,7.7,15.4,7.7,15.4,,15.4
性・年齢別女性20代,94,20.2,48.9,28.7,18.1,31.9,9.6,21.3,18.1,8.5,11.7,4.3,19.1
性・年齢別女性30代,113,25.7,35.4,31.9,27.4,22.1,15.0,23.9,15.0,14.2,7.1,1.8,16.8
性・年齢別女性40代,199,33.2,37.7,28.1,25.6,20.1,18.1,21.1,13.1,14.1,9.0,3.0,18.1
性・年齢別女性50代,181,35.4,35.9,22.1,19.3,20.4,17.7,22.7,24.9,17.7,13.3,4.4,20.4
性・年齢別女性60代,156,24.4,17.9,19.9,16.0,13.5,10.3,9.0,12.2,14.1,6.4,3.8,36.5
性・年齢別女性70歳以上,196,23.5,9.2,10.7,11.2,9.7,13.8,4.1,6.1,4.6,1.5,2.0,55.1
