質問持家以外の方(n=157),割合(%)
制度を知らないし、耐震マークを見たことがない,76.4
制度を知らないが、耐震マークを見たことがある,10.2
制度を知っているが、耐震マークを見たことがない,7.6
制度を知っており、耐震マークを見たことがある,5.7
