回答,観戦または見たことがある（計）（％）,観戦または見たことはない（％）,わからない（％）,備考
今回調査（n=1820）,71.2,27.8,1.0,
平成26年（n=1910）,51.4,47.3,1.4,
,,,,（注1）『観戦または見ことがある（計）』は「観戦または見たことはない」「わからない」以外の選択肢を選んだ人の割合
,,,,（注2）平成26年は「都民のスポーツ活動に関する世論調査（平成26年10月調査）」
