生活時間別,通期時間,残業時間,育児時間,家事時間,介護時間,
男性,約56分,約1時間42分,約1時間,約2時間37分,約32分,
女性,約37分,約42分,約4時間33分,約46分,約49分,
備考,,,,,,注：数値は、男性の有効回答結果と女性の有効回答結果の平均値
