回答,割合（％）,備考
健康の維持増進,82.7,
体力の維持向上,71.2,
ストレス解消,63.3,
仲間（友人）ができる,52.3,
生活習慣病予防,46.8,
生きがいづくり,40.7,
忍耐力がつく,34.5,
フェアプレー、チームワーク精神の涵養,32.1,
意欲向上,30.8,
地域の絆やコミュニティの活性化,24.3,
経済の活性化,15.7,
日本人としての自覚や誇りの醸成,13.6,
国際的地位の向上,9.7,
都市の魅力の発信,7.0,
その他,0.8,
特に効果はない,1.0,
わからない,2.6,
,,n=1820
,,M.T.=529.1
