回答,割合(％)
仕事が忙しいから,38.4
参加方法がわからない、きっかけがないから,26.9
どのような活動があるかわからないから,19.2
家事や育児・介護などが忙しいから,28.4
経済的余裕がないから,16.6
一緒に活動する仲間がいないから,9.2
参加したいと思う活動がないから,9.2
近くに活動の場がないから,7.7
家族の理解や協力がないから,1.8
その他,11.1
無回答,0.4
