,ｎ数(人),やけど(人),切った(人),転落・転倒(人),ぶつけた(人),その他(人)
全体,103,97,2,2,1,1
男の子,60,56,1,1,1,1
男の子０歳,6,6,0,0,0,0
男の子１歳,21,20,0,1,0,0
男の子２歳,19,16,1,0,1,1
男の子３歳,6,6,0,0,0,0
男の子４歳,3,3,0,0,0,0
男の子５歳,1,1,0,0,0,0
男の子６歳,4,4,0,0,0,0
女の子,43,41,1,1,0,0
女の子０歳,2,2,0,0,0,0
女の子１歳,13,13,0,0,0,0
女の子２歳,14,14,0,0,0,0
女の子３歳,9,8,0,1,0,0
女の子４歳,3,3,0,0,0,0
女の子５歳,2,1,1,0,0,0
女の子６歳,0,0,0,0,0,0
