年齢層,15～24歳,25～34歳,35～44歳,45～54歳,55～64歳,65歳以上,
平成26年(％),46.3,79.7,72.2,73.8,58.3,17.8,
平成21年(％),45.0,74.7,67.0,71.9,54.4,14.7,
平成16年(％),41.9,71.4,59.6,66.3,52.0,15.0,
備考,,,,,,,注：「労働力率」は15歳以上人口に占める労働力人口（就業者（休業者も含む）と完全失業者の合計）で算出した。
