,ｎ数(人),のどに刺さった(人),その他(人)
全体,66,65,1
男の子,31,31,0
男の子０歳,1,1,0
男の子１歳,4,4,0
男の子２歳,15,15,0
男の子３歳,6,6,0
男の子４歳,3,3,0
男の子５歳,1,1,0
男の子６歳,1,1,0
女の子,35,34,1
女の子０歳,1,0,1
女の子１歳,9,9,0
女の子２歳,11,11,0
女の子３歳,8,8,0
女の子４歳,6,6,0
女の子５歳,0,0,0
女の子６歳,0,0,0
