順位,29.6月,29.6月件数,29.5月（前月）,29.5月件数,28.6月（前年同月）,28.6月件数
1,インターネット通販,693,インターネット通販,637,インターネット通販,678
2,解約※,618,解約※,565,解約,607
3,不当請求,390,不当請求,318,不当請求,390
4,返金,256,返金,257,返金,228
5,契約書・書面,205,高価格・料金,211,高価格・料金,220
6,高価格・料金,192,契約書・書面,180,クレーム処理,210
7,説明不足,184,説明不足,174,ポルノ・風俗,207
8,クレーム処理,160,クレーム処理,154,契約書・書面,192
9,約束不履行,140,クレジットカード,144,説明不足,184
10,電話勧誘,136,信用性,133,信用性,174
