,n,テレビ、ラジオ、インターネット配信等で観戦または見た（ニュース等で流れるダイジェストや特集番組等も含む）ことがある（％）,スタジアム・体育館・沿道などで実際に観戦または見たことがある（％）,その他（％）,観戦または見たことはない（％）,わからない（％）
全体,1820,70.4,1.3,0.3,27.8,1.0
性・年齢別男性（計）,868,69.8,1.4,0.1,29.4,0.2
性・年齢別男性18・19歳,17,29.4,,,70.6,
性・年齢別男性20代,87,57.5,,,42.5,
性・年齢別男性30代,113,59.3,1.8,,38.9,
性・年齢別男性40代,168,67.3,3.0,,31.5,0.6
性・年齢別男性50代,175,75.4,1.7,,24.6,
性・年齢別男性60代,156,80.8,,0.6,18.6,
性・年齢別男性70歳以上,152,74.3,1.3,,24.3,0.7
性・年齢別女性（計）,952,71.0,1.3,0.4,26.4,1.8
性・年齢別女性18・19歳,13,53.8,,,46.2,
性・年齢別女性20代,94,48.9,,1.1,47.9,2.1
性・年齢別女性30代,113,72.6,0.9,,27.4,
性・年齢別女性40代,199,71.4,2.5,,25.6,1.5
性・年齢別女性50代,181,74.0,1.1,1.1,23.8,1.1
性・年齢別女性60代,156,76.3,1.3,,21.8,1.3
性・年齢別女性70歳以上,196,74.5,1.0,0.5,20.9,4.1
