回答,割合（％）,備考
比較的軽いスポーツ・運動ウオーキング、散歩（散策、ペットの散歩などを含む）,54.5,
比較的軽いスポーツ・運動体操（ラジオ体操、職場体操、ストレッチ、エクササイズ、エアロビクス、ヨガ、ピラティス、縄跳びを含む）,35.2,
比較的軽いスポーツ・運動軽い水泳（水中歩行・水中運動を含む）,23.2,
比較的軽いスポーツ・運動軽い球技（キャッチボール、卓球、ドッジボール、バドミントン、テニス、バレーボール、サッカー、フットサル、ボッチャなど）,18.7,
比較的軽いスポーツ・運動ランニング（ジョギング）,14.9,
比較的軽いスポーツ・運動室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を使ってする運動,14.8,
比較的軽いスポーツ・運動ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊り、車いすダンスを含む）,10.1,
比較的軽いスポーツ・運動ボウリング,9.2,
比較的軽いスポーツ・運動ゲートボール、グラウンドゴルフなどゴルフ型スポーツ,2.2,
比較的軽いスポーツ・運動スポーツ吹矢、フライングディスクなどのニュースポーツ,1.8,
比較的軽いスポーツ・運動その他の比較的軽いスポーツ・運動,1.9,
比較的広域にわたるスポーツ・運動サイクリング、モーター（サイクル）スポーツ,12.7,
比較的広域にわたるスポーツ・運動ゴルフ,11.0,
比較的広域にわたるスポーツ・運動登山（クライミング）,11.0,
比較的広域にわたるスポーツ・運動ハイキング、ワンダーフォーゲル、オリエンテーリング、ウオークラリー,10.7,
比較的広域にわたるスポーツ・運動スキー、スノーボード,10.2,
比較的広域にわたるスポーツ・運動釣り,8.7,
比較的広域にわたるスポーツ・運動キャンプ、オートキャンプ,7.9,
比較的広域にわたるスポーツ・運動海水浴（遊泳）,6.2,
比較的広域にわたるスポーツ・運動ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボードボードセーリング,6.2,
比較的広域にわたるスポーツ・運動マラソン、トレイルランニング,4.5,
比較的広域にわたるスポーツ・運動ハングライダー、パラグライダー、スカイダイビング,3.9,
比較的広域にわたるスポーツ・運動スケート、ローラースケート、スケートボード,3.1,
比較的広域にわたるスポーツ・運動その他の比較的広域にわたるスポーツ・運動,0.7,
競技的スポーツテニス（車いすテニスを含む）、ソフトテニス,8.3,
競技的スポーツ卓球（サウンドテーブルテニスを含む）,5.4,
競技的スポーツサッカー（ブラインドサッカーを含む）、フットサル,4.3,
競技的スポーツ野球,4.2,
競技的スポーツ弓道、アーチェリー,3.6,
競技的スポーツ柔道、剣道、空手、相撲、合気道など武道,3.4,
競技的スポーツバレーボール（シッティングバレーボールを含む）,2.6,
競技的スポーツ水泳競技,2.2,
競技的スポーツソフトボール,1.4,
競技的スポーツ陸上競技,1.4,
競技的スポーツボクシング、レスリングなど格闘技,1.2,
競技的スポーツラグビー（タグラグビー、ウィルチェアーラグビーを含む）,0.4,
競技的スポーツその他の球技スポーツ（バスケットボール（車椅子バスケットボールを含む）、バドミントンなど）,3.4,
競技的スポーツその他の競技的スポーツ,1.0,
特にない,12.5,
,,n=1820
,,M.T.=338.4
,54.5,
,35.2,
,23.2,
,18.7,
,14.9,
,14.8,
,10.1,
,9.2,
,2.2,
,1.8,
,1.9,
