回答,今回調査（％）,平成26年（％）,備考
パラリンピック,82.9,87.3,
車いすテニス,78.7,73.5,
車椅子バスケットボール,77.1,70.7,
ブラインドサッカー,43.7,30.5,
ボッチャ,39.0,2.4,
ゴールボール,25.8,9.4,
車いすダンス,19.7,27.1,
ウィルチェアーラグビー,18.4,3.0,
シッティングバレーボール,15.5,4.7,
サウンドテーブルテニス,7.5,3.8,
スペシャルオリンピックス,4.0,3.6,
デフリンピック,2.5,2.1,
その他,0.4,0.7,
特にない,4.8,3.5,
,,,今回調査（n=1820）
,,,平成26年（n=1910）
