商品・役務名,28年度（件）,27年度（件）,対前年度比(%)
教室・講座,778,706,110.2
ビジネス教室,161,91,176.9
タレント・モデル養成教室,141,120,117.5
スポーツ・健康教室,127,88,144.3
他の教室・講座,100,112,89.3
外国語・会話教室,51,58,87.9
