,n,テレビ、ラジオ、インターネット配信等で観戦または見た（ニュース等で流れるダイジェストや特集番組等も含む）ことがある（％）,スタジアム・体育館・沿道などで実際に観戦または見たことがある（％）,その他（％）,観戦または見たことはない（％）,わからない（％）
全体,1820,70.4,1.3,0.3,27.8,1.0
スポーツ観戦の有無別実際に観戦した（計）,716,78.9,2.8,0.3,19.3,0.7
観戦しなかった,1089,64.9,0.4,0.3,33.5,1.1
テレビ・ラジオ、インターネット配信等での観戦の有無別テレビ・ラジオ、インターネット配信等で観戦した（計）,1680,74.5,1.4,0.3,23.9,0.8
観戦しなかった,130,21.5,,,76.9,1.5
障害者スポーツへの関心度別関心がある,409,88.3,3.9,0.7,9.3,
やや関心がある,646,83.0,0.8,0.2,16.3,0.6
あまり関心がない,483,58.6,0.4,0.2,40.4,0.6
関心がない,183,30.1,0.5,,68.9,1.1
わからない,99,47.5,,,42.4,10.1
関心がある（計）,1055,85.0,2.0,0.4,13.6,0.4
関心がない（計）,666,50.8,0.5,0.2,48.2,0.8
