回答,割合（％）,備考
テレビ、ラジオ、インターネット配信等で観戦したい,72.3,
競技会場（スタジアム・体育館・沿道など）で直接観戦したい,18.3,
入場無料の公共の場における大型スクリーン放映（ライブサイトやパブリックビューイング）で観戦したい,6.9,
観戦したいが、観戦方法が分からない,1.6,
観戦したいと思わない,14.5,
わからない,5.4,
,,n=1820
,,M.T.=119.0
,,（注）「ライブサイト」とは、競技会場以外で、大画面による迫力ある生中継、ステージイベント、競技体験等を楽しむことができる、オリンピック・パラリンピック競技大会公式事業です。
