回答,参加したいと思う（計）（％）,特に決まっていない（％）,参加したいと思わない（％）,備考
今回調査（n=1820）,33.4,27.9,38.7,
平成26年（n=1910）,33.2,34.6,32.2,
,,,,（注1）『参加したいと思う（計）』は「特に決まっていない」「参加したいと思わない」以外の選択肢を選んだ人の割合
,,,,（注2）平成26年は「都民のスポーツ活動に関する世論調査（平成26年10月調査）」
