,男女校(校）,男女校(％）,女子校(校）,女子校(％）,男子校(校）,男子校(％）,合計(校）,合計(％）
高等学校（全日制）,113,48.7,86,37.1,33,14.2,232,100.0
中学校,77,42.1,74,40.4,32,17.5,183,100.0
