時間,～30分未満,30分以上～1時間未満,1時間以上～1.5時間未満,1.5時間以上～2時間未満,2時間以上～2.5時間未満,2.5時間以上～3時間未満,3時間以上～4時間未満,4時間以上～5時間未満,5時間以上～6時間未満,6時間以上～12時間未満,12時間以上～,,
男性割合(％),48.8,21.9,11.5,7.2,4.7,3.2,0.1,0.5,0.6,0.5,0.9,,
男性人数(人),381,171,90,56,37,25,1,4,5,4,7,,
女性割合(％),21.8,6.7,8.2,8.5,4.1,18.9,0.4,1.9,4.0,12.5,13.1,,
女性人数(人),181,56,68,71,34,157,3,16,33,104,109,,
備考,,,,,,,,,,,,男性(n=781)女性（n=832）,注：数値は、男性の有効回答結果（781人）と女性の有効回答結果（832人）を合算したもの
