回答,週に1日以上実施（％）,週に1日未満実施（％）,実施したが頻度はわからない（％）,実施しなかった（％）,備考
今回調査（n=1820）,56.3,26.1,2.6,15.0,
平成26年（n=1910）,60.5,26.3,1.3,11.9,
,,,,,（注）平成26年は「都民のスポーツ活動に関する世論調査（平成26年10月調査）」
