回答,割合(％),人数(人),備考
1年未満,40.3,405,
1年,19.1,192,
2年,24.8,249,
3年,10.3,104,
4年,2.0,20,
5年,0.4,4,
6年,0.1,1,
7年,0.3,3,
8年以上,1.5,15,
覚えていない,1.2,12,
,,,n=1005
,,,単一回答
