回答,今回調査（％）,平成26年（％）,備考
ウオーキング、散歩（散策、ペットの散歩などを含む）,54.5,61.0,
体操（ラジオ体操、職場体操、ストレッチ、エクササイズ、エアロビクス、ヨガ、ピラティス、縄跳びを含む）,35.2,38.1,
軽い水泳（水中歩行・水中運動を含む）,23.2,23.6,
軽い球技（キャッチボール、卓球、ドッジボール、バドミントン、テニス、バレーボール、サッカー、フットサル、ボッチャなど）,18.7,21.6,
ランニング（ジョギング）,14.9,15.1,
室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を使ってする運動,14.8,14.9,
サイクリング、モーター（サイクル）スポーツ,12.7,16.9,
ゴルフ,11.0,15.2,
登山（クライミング）,11.0,11.2,
ハイキング、ワンダーフォーゲル、オリエンテーリング、ウオークラリー,10.7,11.1,
特にない,12.5,9.0,
,,,今回調査（n=1820）
,,,平成26年（n=1910）
,,,（注）平成26年は「都民のスポーツ活動に関する世論調査（平成26年10月調査）」
