,ｎ数（人）,溺水（人）,転落・転倒（人）,やけど（人）,その他（人）
全体,532,423,106,1,2
男の子,287,223,61,1,2
男の子０歳,26,23,2,1,0
男の子１歳,109,97,12,0,0
男の子２歳,97,69,26,0,2
男の子３歳,33,24,9,0,0
男の子４歳,13,9,4,0,0
男の子５歳,7,1,6,0,0
男の子６歳,2,0,2,0,0
女の子,245,200,45,0,0
女の子０歳,20,20,0,0,0
女の子１歳,115,96,19,0,0
女の子２歳,69,54,15,0,0
女の子３歳,25,19,6,0,0
女の子４歳,10,7,3,0,0
女の子５歳,5,3,2,0,0
女の子６歳,1,1,0,0,0
