,相談全体(33026件),放送・通信サービス(1136件),テレビ放送サービス(112件),有線テレビ放送(93件)(%),インターネット接続回線（273件）,固定電話サービス（96件）,携帯電話サービス（362件）,モバイルデータ通信（200件)(%)
平均契約購入金額,"1,505,366円","59,708円","66,834円","17,013円","25,534円","9,673円","112,094円","51,417円"
5千円未満,12.9%,29.5%,41.1%,31.2%,36.3%,50.0%,13.3%,32.5%
5千円以上1万円未満,7.5%,16.7%,6.3%,36.6%,20.5%,22.9%,10.2%,17.0%
1万円以上5万円未満,18.9%,31.1%,26.8%,26.9%,33.3%,25.0%,35.4%,27.5%
5万円以上10万円未満,22.0%,11.9%,9.8%,2.2%,6.2%,1.0%,19.9%,16.0%
10万円以上,38.7%,10.8%,16.1%,3.2%,3.7%,1.0%,21.3%,7.0%
