年度,法制度等,補助事業
21,,＊私立学校建物戦災復旧資金貸付の実施(21年度～26年度、21・24年度は国）
24,〔私立学校法制定（24.12.15）〕,
25,〔私立学校法施行細則制定〕第一回都私立学校審議会,◎教職員待遇改善費補助の実施（26年度から特別支援学校を含む。)＊私立学校教育研究費補助の実施
25,〔私立学校法施行細則制定〕第一回都私立学校審議会,
26,東京都私立学校教育助成条例施行（旧条例）,
27,,＊産業教育施設設備整備費補助の実施
29,東京都育英資金貸付条例施行（29.4.1）,＊私立学校教職員共済組合費補助の実施
31,,＊理科教育等設備整備費補助の実施
32,私立学校特別調査会答申,
33,東京都私立学校助成審議会設置（33．4．1）,
36,,＊私立高等学校生徒急増対策補助事業の実施（～39年度）
38,,◎需用費補助の実施＊通信制高等学校経常費補助の実施
39,,＊定時制等教育振興費補助の実施（～平成22年度）
41,,＊私立学校退職手当補助の実施
43,,＊入学支度金貸付制度創設
45,〔私立大学等経常費補助制度創設〕助成方策協議会意見書提出（45.12.18）,＊進学奨励事業の実施
46,,◎運営費補助の実施
47,第二次助成方策協議会意見書（47.12.26）,＊私立幼稚園園児保護者負担軽減事業費補助の実施
48,,＊特別奨学金制度創設
49,,◎私立学校経常費補助制度創設（待遇改善費を統合）
50,〔私立高等学校等経常費助成費補助金制度創設（国庫補助）〕〔私立学校振興助成法制定〕（50.7.11）,
53,東京都私立学校助成条例全部改正（53.3.31）,
55,,◎私立学校経常費補助人頭割を特別運営費補助とする。＊私立高等学校生徒急増対策事業費補助の実施（～58年度）
56,(財)東京都私立学校教育振興会の設立(56.6.1),＊私立学校教育振興資金融資利子補給事業の実施
57,助成条例制定直接請求に係る都議会臨時会（57.2.8～10）,＊幼稚園園児急減対策融資利子補給事業の実施（～61年度）＊幼稚園園児急減対策事業費補助の実施＊産業教育施設設備整備費補助と理科教育等設備整備費補助を統合し、産業・理科教育施設設備整備費補助として再構築
59,,＊進学奨励貸付事業の実施＊私立専修学校教育振興費補助の実施＊専修学校施設整備費補助の実施
62,,＊私立幼稚園教育振興事業費補助の実施＊私立幼稚園振興対策利子補給（～8年度）
63,,＊私立学校アスベスト対策資金緊急貸付の実施（63・元年度）
1,私立学校助成審議会より新たな補助制度についての答申,＊私立専修学校専門課程研究用図書等整備費補助の実施
2,,◎高・中・小について標準的運営費方式を導入
7,,＊私立外国人学校教育運営費補助の実施
8,,＊私立高等学校老朽校舎改築促進事業の実施（～12年度）＊私立幼稚園等園児保護者負担軽減事業費補助に所得制限を導入◎幼稚園について標準的運営費方式を導入
13,,＊私立学校情報教育推進補助の実施(～14年度）＊私立学校非常通報装置(学校110番)整備事業補助の実施（13年度のみ）
14,,＊私立幼稚園預かり保育推進補助の実施＊私立高等学校都内生就学促進補助の実施
15,(財)東京都私立学校教育振興会は、(社)東京都私学退職金社団と統合し、(財)東京都私学財団に名称変更(15.4.1),＊私立学校安全対策促進事業費補助の実施＊私立専修学校障害児（者）教育事業費補助(現:私立専修学校特別支援教育事業費補助）の実施
16,,＊私立専修学校第三者評価等促進事業補助の実施
17,東京都育英資金貸付条例全部改正(17.3.31),＊私立専修学校教育設備整備費補助と私立専修学校専門課程研究用図書等整備費補助を統合し、私立専修学校教育設備等整備費補助として再構築＊育英資金貸付事業を17年度新規貸付分から（財）東京都私学財団へ移管（育英資金事業費補助の創設）＊私立学校施設環境整備事業費補助の実施（補正予算、～22年度）
18,〔教育基本法全部改正〕,
19,〔教育三法の一部改正〕,＊認定こども園運営費等補助の実施＊私立専修学校教育設備等整備費補助に事業を追加し、私立専修学校教育環境整備費補助として再構築＊私立学校麻しん緊急対策事業費補助の実施（19年度のみ）
21,東京都高等学校等生徒修学支援基金条例制定(21.12.24),＊私立学校地上デジタルテレビ整備費補助の実施（～23年度）＊私立学校省エネ設備等導入モデル事業費補助の実施＊認定こども園等運営費等補助に事業を追加し、認定こども園の事業費補助、整備事業費補助及び研修支援補助を実施（安心こども基金事業、補正予算、研修支援補助は22年度まで）＊私立幼稚園等環境整備費補助の実施（安心こども基金事業、補正予算、～22年度）
22,〔公立高等学校に係る授業料の不徴収及び高等学校等就学支援金の支給に関する法律制定〕,＊私立高等学校等就学支援金の実施＊私立学校安全対策促進事業費補助に事業を追加し、緊急地震速報整備費補助を実施（22年度のみ）＊私立幼稚園等就園奨励特別補助の実施
23,東京都高等学校等生徒修学支援基金条例一部改正（財）東京都私学財団が（公財）東京都私学財団に移行（23.4.1）,＊私立高等学校等就学支援金の実施に伴い、定時制等教育振興費補助を特別奨学金制度に統合＊私立学校施設環境整備事業費補助を私立学校安全対策促進事業費補助に統合＊私立学校ＩＣＴ整備費補助の実施（～25年度）＊私立高等学校等就学支援金学校事務費補助の実施＊私立学校防災用品緊急整備事業費補助の実施（補正予算、～24年度）＊私立学校被災生徒等臨時支援金の実施（補正予算）＊私立学校被災生徒等授業料等減免補助の実施（補正予算）＊私立専修学校・各種学校被災生徒等授業料等減免補助の実施（補正予算）＊私立学校省エネ設備等導入モデル事業費補助を時限で拡充（補正予算）
25,,＊私立高等学校海外留学推進補助の実施＊私立学校安全対策促進事業費補助に事業を追加し、非構造部材耐震対策工事補助を実施（～27年度）＊私立幼稚園防災備蓄倉庫整備費補助の実施（25年度のみ）＊私立幼稚園等環境整備費補助の実施（安心こども基金事業、補正予算）
26,〔〔公立高等学校に係る授業料の不徴収及び高等学校等就学支援金の支給に関する法律〕が〔高等学校等就学支援金の支給に関する法律〕に一部改正〕,＊私立高等学校等就学支援金に所得制限を導入＊私立幼稚園預かり保育推進補助に事業を追加し、幼稚園における長時間預かり保育支援事業（国事業）を実施＊私立高等学校等奨学給付金事業費補助の実施
27,〔子ども・子育て支援新制度施行（27.4.1）〕,＊私立学校ＩＣＴ教育環境整備費補助の実施（～29年度）＊私立学校外国語指導助手活用事業費補助の実施＊認定こども園運営費等補助事業を見直し、認定こども園整備費等補助として実施＊私立幼稚園等施設型給付費負担金の創設＊私立幼稚園等一時預かり事業費補助の実施＊私立幼稚園等特色教育等推進補助の実施＊認定こども園新制度移行支援特別補助の実施（～28年度）＊私立専修学校修学支援実証研究事業費補助の実施＊私立学校安全対策促進事業費補助に事業を追加し、防災力向上事業及び学校安全推進事業（～28年度）を実施
28,,＊私立学校省エネ設備等導入事業費補助の本格実施（～32年度）＊私立学校外国語科教員海外派遣研修事業費補助の実施
29,,＊私立幼稚園特別支援教育事業費補助の拡充＊私立専修学校特別支援教育事業費補助の拡充＊私立高等学校等特別奨学金補助の拡充＊私立幼稚園等一時預かり事業費補助の拡充＊私立高等学校外部検定試験料補助の実施＊私立高等学校等入学支度金貸付利子補給の拡充＊私立小中学校等就学支援実証事業の実施
30,,＊私立高等学校等特別奨学金補助の通信制高校への拡充＊私立学校ICT教育環境整備費補助の延長及び補助限度額拡充＊私立幼稚園等一時預かり事業費補助の拡充＊私立学校教員海外派遣研修事業費補助の対象学科拡充＊私立専修学校職業実践専門課程推進補助の実施＊私立幼稚園等自然体験支援事業費補助の実施（30年度のみ）
