,n,地域で主催するイベントや大会（町会、老人会、子供会、地域スポーツクラブなどの大会や教室など）（％）,学校主催のイベントや大会（運動会など）（％）,職場（会社）主催のイベントや大会（ボウリング大会、野球大会、駅伝大会など）（％）,東京都や区市町村・社会体育団体が主催するイベントや大会（地域のスポーツ施設でのイベント、マラソン大会など）（％）,民間スポーツ団体主催のイベントや大会（民間スポーツクラブでのスポーツイベントや大会など）（％）,その他（％）,参加したことがない（％）,わからない（％）
全体,1820,7.5,6.3,4.9,4.6,4.6,0.8,76.5,1.0
ライフステージ別学校教育期,64,4.7,18.8,4.7,7.8,14.1,,60.9,1.6
ライフステージ別独身期,174,0.6,1.1,8.0,1.1,3.4,2.3,84.5,0.6
ライフステージ別家族形成期,161,7.5,8.7,11.8,2.5,5.0,0.6,73.3,0.6
ライフステージ別家族成長前期,167,13.8,32.9,7.8,9.0,4.2,1.2,46.7,4.2
ライフステージ別家族成長後期,147,5.4,8.8,6.1,6.8,6.1,0.7,73.5,2.0
ライフステージ別家族成熟期,290,6.6,2.8,3.8,5.9,5.5,0.3,81.0,
ライフステージ別高齢期,430,14.0,0.9,1.2,4.0,3.3,0.7,77.7,1.2
