回答,割合(％),人数(人),備考
机、テーブル、椅子等の家具の上,38.9,391,
バッグの中,10.4,105,
ポケット（Yシャツ、Tシャツ）の中,0.9,9,
ポケット（ジャケット、羽織）の中,1.0,10,
ポケット（パンツ、スカート）の中,1.5,15,
それ以外のポケットの中,1.0,10,
その他,7.9,79,
その他の状況の使用経験はない,38.4,386,
,,,n=1005
,,,単一回答
