,ｎ数(人),踏み台(人),歯ブラシ(人),洗面台(人),カミソリ(人),洗剤(人),バスマット(人),床(人),洗濯機(人),石鹸(人),歯磨き粉(人),鏡(人),水栓(人),口腔洗浄剤(人),化粧品(人),タオル(人),窓(人),その他(人)
全体,436,154,66,56,46,28,17,16,11,9,5,4,3,3,2,1,1,14
男の子,240,78,31,32,24,20,11,9,5,7,4,3,2,2,1,1,1,9
男の子０歳,13,1,1,1,0,1,2,1,0,1,1,1,0,0,0,0,0,3
男の子１歳,50,17,4,5,4,7,1,0,3,4,1,1,0,0,1,0,0,2
男の子２歳,83,32,15,7,8,8,2,3,0,2,1,1,2,0,0,1,1,0
男の子３歳,53,16,6,13,5,3,3,1,0,0,1,0,0,1,0,0,0,4
男の子４歳,23,9,3,1,3,0,3,2,1,0,0,0,0,1,0,0,0,0
男の子５歳,14,3,1,5,2,1,0,1,1,0,0,0,0,0,0,0,0,0
男の子６歳,4,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
女の子,196,76,35,24,22,8,6,7,6,2,1,1,1,1,1,0,0,5
女の子０歳,9,1,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0
女の子１歳,51,18,9,9,2,3,1,2,1,2,1,0,0,0,0,0,0,3
女の子２歳,59,23,11,5,8,3,0,5,1,0,0,0,0,1,1,0,0,1
女の子３歳,51,26,8,4,6,1,2,0,2,0,0,0,1,0,0,0,0,1
女の子４歳,21,5,6,3,2,0,2,0,2,0,0,1,0,0,0,0,0,0
女の子５歳,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
女の子６歳,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
