回答,テレビ・ラジオ、インターネット配信等で観戦した（計）（％）,観戦しなかった（％）,わからない（％）,備考
今回調査（n=1820）,92.3,7.1,0.5,
平成26年（n=1910）,93.2,6.2,0.6,
,,,,（注1）『テレビ・ラジオ、インターネット配信等で観戦した（計）』は「観戦しなかった」「わからない」以外の選択肢を選んだ人の割合
,,,,（注2）『テレビ・ラジオ、インターネット配信等で観戦した（計）』は平成26年調査では『テレビ・ラジオで観戦した（計）』
,,,,（注3）平成26年は「都民のスポーツ活動に関する世論調査（平成26年10月調査）」
