,ｎ数(人),転落・転倒(人),溺水(人),ぶつけた(人),誤飲(人),はさんだ(人),その他(人)
全体,136,83,26,9,1,1,16
家庭用プール,78,53,23,1,0,0,1
ホース,27,15,2,2,0,0,8
洗濯機,8,2,0,0,0,1,5
シンク,7,3,0,3,0,0,1
水栓,6,2,0,3,0,0,1
その他,10,8,1,0,1,0,0
