質問,割合(%)
行政から耐震化に係る費用について助成が受けられる,69.1
建築士等の専門家に耐震化について無料で相談できる,46.0
行政から耐震化に係る技術てきな助言を受けられる,37.6
法令等により耐震化が義務化されている,32.8
銀行等の金融関係から耐震化に係る費用について低利での融資が受けられる,24.4
その他,4.8
どのような状況でも耐震化を実施するつもりはない,3.9
