,"相談全体（66,190件）","放送・通信サービス（4,137件）",テレビ放送サービス（508件）,有線テレビ放送（343件）,"インターネット接続回線（1,122件）",固定電話サービス（391件）,"携帯電話サービス（1,229件）",モバイルデータ通信(544件)
20歳未満(%),2.4,1.7,5.5,0.3,1.4,0.0,1.6,0.9
20歳代(%),10.2,10.5,13.2,4.7,10.4,2.6,9.9,18.8
30歳代(%),14.1,12.9,10.4,8.7,12.4,4.3,14.9,20.2
40歳代(%),16.1,17.1,12.0,12.8,15.7,9.0,20.5,25.9
50歳代(%),12.5,12.2,8.9,10.8,12.3,8.4,14.6,13.1
60歳代(%),12.1,12.8,14.2,14.9,14.5,11.3,12.5,8.3
70歳以上(%),18.0,19.9,21.1,32.1,22.9,38.9,12.8,7.4
不明等(%),14.6,12.9,14.7,15.7,10.4,25.5,13.2,5.4
