質問,割合(%)
交通局,35.9
水道局,34.1
生活文化局,31.2
下水道局,25.9
オリンピック・パラリンピック準備局,25.3
福祉保健局,22.9
都市整備局,21.8
主税局,17.6
中央卸売市場,16.5
教育庁,15.9
環境局,12.9
建設局,11.2
港湾局,10.6
産業労働局,10.0
政策企画局,7.1
青少年・治安対策本部,7.1
財務局,7.1
総務局,5.9
病院経営本部,5.3
選挙管理委員会事務局,4.1
人事委員会事務局,3.5
議会局,2.9
会計管理局,1.2
監査事務局,0.6
労働委員会事務局,0
収用委員会事務局,0
