回答,今回調査（％）,平成27年（％）,備考
アスリートが力を発揮できる競技環境の整備,46.4,44.5,
誰もが安全・安心に過ごすことができる高度防災都市の構築と治安維持,45.3,43.1,
多言語対応など世界に開かれた国際都市の形成,28.0,27.7,
世界で活躍できるトップアスリートの発掘・育成・支援,26.4,20.8,
「おもてなしの心」で、東京を訪れるすべての人々を歓迎する都市の実現,26.0,30.1,
円滑かつ快適に利用できる総合的な交通ネットワークの構築,24.7,24.5,
全ての人に優しいユニバーサルデザイン先進都市の形成,20.2,15.2,
再生可能エネルギーの利用促進など、環境にやさしい都市の創出,10.5,14.6,
日本文化の魅力を世界に発信できる芸術文化都市の創造,10.3,14.6,
その他,3.0,2.1,
わからない,9.2,3.0,
,,,今回調査（n=1820）
,,,平成27年（n=1900）
,,,（注）平成27年は「都民生活に関する世論調査（平成27年8月調査）」
