,ｎ数(人),転落・転倒(人),溺水(人)
全体,144,141,3
男の子,72,71,1
男の子０歳,2,2,0
男の子１歳,17,16,1
男の子２歳,25,25,0
男の子３歳,14,14,0
男の子４歳,8,8,0
男の子５歳,6,6,0
男の子６歳,0,0,0
女の子,72,70,2
女の子０歳,5,4,1
女の子１歳,22,21,1
女の子２歳,24,24,0
女の子３歳,12,12,0
女の子４歳,5,5,0
女の子５歳,3,3,0
女の子６歳,1,1,0
