回答,割合(％),人数(人),備考
机、テーブル、椅子等の家具の上,56.9,572,
バッグの中,22.0,221,
ポケット（Yシャツ、Tシャツ）の中,1.8,18,
ポケット（ジャケット、羽織）の中,1.9,19,
ポケット（パンツ、スカート）の中,3.5,35,
それ以外のポケットの中,1.6,16,
その他,0.5,5,
作業中の使用経験はない,11.8,119,
,,,n=1005
,,,単一回答
