,n,ウオーキング、散歩（散策、ペットの散歩などを含む）（％）,体操（ラジオ体操、職場体操、ストレッチ、エクササイズ、エアロビクス、ヨガ、ピラティス、縄跳びを含む）（％）,軽い水泳（水中歩行・水中運動を含む）（％）,軽い球技（キャッチボール、卓球、ドッジボール、バドミントン、テニス、バレーボール、サッカー、フットサル、ボッチャなど）（％）,ランニング（ジョギング）（％）,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を使ってする運動（％）,サイクリング、モーター（サイクル）スポーツ（％）,ゴルフ（％）,登山（クライミング）（％）,ハイキング、ワンダーフォーゲル、オリエンテーリング、ウオークラリー（％）
全体,1820,54.5,35.2,23.2,18.7,14.9,14.8,12.7,11.0,11.0,10.7
性・年齢別男性（計）,868,52.2,23.2,19.5,22.2,20.4,15.0,16.9,15.4,11.5,10.0
性・年齢別男性18・19歳,17,11.8,5.9,29.4,52.9,29.4,29.4,35.3,,29.4,5.9
性・年齢別男性20代,87,34.5,16.1,13.8,35.6,28.7,17.2,19.5,10.3,12.6,5.7
性・年齢別男性30代,113,38.9,19.5,23.9,28.3,31.9,19.5,15.9,11.5,12.4,9.7
性・年齢別男性40代,168,47.6,24.4,25.6,25.6,28.0,14.3,22.0,12.5,21.4,10.7
性・年齢別男性50代,175,57.1,26.3,17.7,23.4,18.3,17.7,18.9,18.9,9.1,12.6
性・年齢別男性60代,156,60.9,23.7,19.2,16.0,12.2,11.5,12.2,24.4,5.1,11.5
性・年齢別男性70歳以上,152,67.1,26.3,13.8,7.9,8.6,9.9,11.2,13.2,6.6,7.9
性・年齢別女性（計）,952,56.6,46.2,26.7,15.4,9.9,14.6,8.8,7.0,10.5,11.2
性・年齢別女性18・19歳,13,53.8,38.5,15.4,46.2,23.1,15.4,7.7,,15.4,15.4
性・年齢別女性20代,94,41.5,35.1,30.9,26.6,20.2,13.8,13.8,6.4,8.5,8.5
性・年齢別女性30代,113,51.3,48.7,35.4,19.5,20.4,18.6,9.7,11.5,15.0,11.5
性・年齢別女性40代,199,58.3,45.7,28.6,19.1,10.1,15.6,12.6,6.5,17.6,11.1
性・年齢別女性50代,181,64.1,53.0,33.1,16.6,11.0,18.8,13.3,10.5,11.6,15.5
性・年齢別女性60代,156,64.7,49.4,25.0,10.3,3.8,12.8,3.8,8.3,5.8,12.8
性・年齢別女性70歳以上,196,52.0,42.3,13.8,5.1,1.5,9.2,2.0,1.5,4.1,7.1
職業別自営・家族従業（計）,238,56.3,32.4,22.3,16.4,14.7,16.4,11.3,12.6,12.2,8.8
職業別勤め（計）,926,52.3,34.2,24.7,22.1,18.1,15.4,14.7,14.1,13.3,11.9
職業別勤め経営・管理職,51,58.8,25.5,21.6,25.5,27.5,15.7,11.8,29.4,11.8,13.7
職業別勤め専門・技術職,43,44.2,23.3,25.6,27.9,16.3,20.9,14.0,11.6,16.3,9.3
職業別勤め事務職,453,53.9,37.7,30.0,22.3,19.9,15.5,17.4,14.6,15.5,12.4
職業別勤め労務・技能職,155,43.2,25.2,17.4,18.1,16.1,10.3,13.5,9.7,12.3,11.0
職業別勤め販売・サービス職,196,55.1,37.8,18.4,20.9,14.8,16.8,10.7,11.2,9.2,11.2
職業別無職の主婦・主夫,432,60.0,41.4,23.1,12.5,6.9,13.7,7.2,3.9,6.5,10.6
職業別学生,73,41.1,27.4,27.4,41.1,32.9,21.9,27.4,8.2,20.5,11.0
職業別その他の無職,141,56.7,32.6,13.5,8.5,8.5,8.5,9.9,12.1,2.8,5.0
