試験条件,スマートフォンの状態アプリ起動,スマートフォンの状態充電,スマートフォンの状態体温,試験検体A最高温度(℃),試験検体A到達時間(分),試験検体B最高温度(℃),試験検体B到達時間(分),試験検体C最高温度(℃),試験検体C到達時間(分),最高温度平均(℃)
ア,〇,〇,〇,49.8,47.0,50.1,18.3,47.3,39.2,49.1
イ,〇,〇,―,52.9,59.6,53.3,70.4,52.1,47.2,52.8
ウ,〇,―,〇,45.7,38.6,48.5,39.3,46.8,23.1,47.0
エ,〇,―,―,47.7,50.3,54.8,113.2,48.3,60.3,50.3
オ(対照試験),―,―,―,22.6,0,25.3,0,26.2,0,24.7
