,相談全体(66190件),放送・通信サービス(4137件),テレビ放送サービス(508件),有線テレビ放送(343件)(%),インターネット接続回線(1122件),固定電話サービス(391件),携帯電話サービス(1229件),モバイルデータ通信(544件)
店舗購入(%),32.5,39.7,7.5,9.0,15.6,17.9,82.4,58.3
訪問販売(%),7.9,20.2,55.1,50.4,21.1,25.1,1.2,6.3
通信販売(%),33.2,11.8,9.3,7.6,15.6,7.9,4.9,27.2
電話勧誘販売(%),4.9,11.6,2.6,4.4,30.7,22.0,0.3,2.9
その他の販売形態(%),2.7,0.2,0.0,0.3,0.2,0.3,0.0,0.7
不明・無関係(%),18.8,16.5,25.5,28.3,16.8,26.8,11.2,4.6
