消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）・イ・（1）,（六）・イ・（2）,（六）・イ・（3）,（六）・イ・（4）,（六）・ロ・（1）,（六）・ロ・（2）,（六）・ロ・（3）,（六）・ロ・（4）,（六）・ロ・（5）,（六）・ハ・（1）,（六）・ハ・（2）,（六）・ハ・（3）,（六）・ハ・（4）,（六）・ハ・（5）,（六）・ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五,十六・イ,十六・ロ,十六の二,十六の三,十七,十八,十九,二十,危険物製造所等_製造所,危険物製造所等_貯蔵所,危険物製造所等_取扱所,少量危険物等_運搬,少量危険物等_貯蔵取扱所少量危険物,少量危険物等_貯蔵取扱所指定可燃物
令和4年度,20727,2,2,1,0,0,1,1,70,136,48,12160,1,2,5,17,16,0,0,4,7,5,0,64,2,21,31,300,56,1,5,5,523,152,3,129,0,162,1460,344,3999,0,0,82,2,0,0,4,226,676,2,0,0
特別区,15620,0,1,1,0,0,1,0,45,60,30,9724,1,2,3,5,8,0,0,0,0,2,0,28,1,4,14,197,13,1,4,2,436,90,2,98,0,90,1076,281,2718,0,0,32,2,0,0,4,173,470,1,0,0
丸の内,83,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,2,0,0,0,0,18,30,0,0,0
麹町,97,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50,5,11,0,0,0,0,0,0,0,0,1,0,0,0
神田,17,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
京橋,128,0,0,0,0,0,0,0,2,4,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,56,13,19,0,0,0,0,0,0,0,1,1,0,0,0
日本橋,90,0,0,0,0,0,0,0,0,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,36,1,11,0,0,0,0,0,0,0,5,8,0,0,0
臨港,140,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,1,23,3,13,0,0,0,0,0,0,0,12,13,0,0,0
芝,168,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36,0,0,2,0,0,48,10,38,0,0,2,0,0,0,0,2,5,0,0,0
麻布,182,0,0,0,0,0,0,0,1,0,0,102,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,20,2,39,0,0,0,0,0,0,0,5,5,0,0,0
赤坂,122,0,0,0,0,0,0,0,0,2,2,26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,9,0,0,0,0,0,29,20,13,0,0,3,0,0,0,0,5,5,0,0,0
高輪,208,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1,0,0,0,5,17,0,42,0,0,0,0,0,0,0,0,0,0,0,0
品川,326,0,0,1,0,0,1,0,1,0,7,161,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,15,3,0,0,0,40,2,0,2,0,4,28,20,17,0,0,1,0,0,0,0,1,16,0,0,0
大井,170,0,0,0,0,0,0,0,1,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,1,0,1,0,0,22,0,47,0,0,0,0,0,0,0,0,5,0,0,0
荏原,171,0,0,0,0,0,0,0,1,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,24,5,0,0,0,0,0,0,0,2,0,0,0,0
