消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）・イ・（1）,（六）・イ・（2）,（六）・イ・（3）,（六）・イ・（4）,（六）・ロ・（1）,（六）・ロ・（2）,（六）・ロ・（3）,（六）・ロ・（4）,（六）・ロ・（5）,（六）・ハ・（1）,（六）・ハ・（2）,（六）・ハ・（3）,（六）・ハ・（4）,（六）・ハ・（5）,（六）・ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五,十六・イ,十六・ロ,十六の二,十六の三,十七,十八,十九,二十,危険物製造所等_製造所,危険物製造所等_貯蔵所,危険物製造所等_取扱所,少量危険物等_運搬,少量危険物等_貯蔵取扱所少量危険物,少量危険物等_貯蔵取扱所指定可燃物
令和4年度,10008,5,3,2,7,0,7,2,320,411,135,2801,5,6,2,59,62,0,0,0,19,28,1,133,7,75,74,352,19,0,11,60,233,544,0,53,0,344,824,1635,891,0,0,35,0,0,0,1,209,633,0,0,0
特別区,7141,1,3,2,5,0,4,2,233,233,77,2094,5,4,1,22,38,0,0,0,7,10,0,76,1,16,42,202,11,0,9,50,182,367,0,41,0,230,612,1292,659,0,0,29,0,0,0,0,146,435,0,0,0
丸の内,111,0,2,0,1,0,1,0,69,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,16,1,0,0,0,0,0,0,0,7,2,0,0,0
麹町,54,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,30,4,0,0,0,0,0,0,0,5,1,0,0,0
神田,183,0,0,0,0,0,0,0,13,10,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,78,61,9,0,0,0,0,0,0,0,0,1,0,0,0
京橋,88,0,0,0,0,0,0,0,3,3,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,7,44,3,0,0,0,0,0,0,0,1,1,0,0,0
日本橋,159,0,0,0,0,0,0,0,5,4,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,39,30,19,0,0,0,0,0,0,0,3,0,0,0,0
臨港,71,0,0,0,0,0,0,0,10,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,1,8,7,0,0,0,0,0,0,0,3,5,0,0,0
芝,125,0,0,0,0,0,0,0,4,0,1,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,2,6,36,18,0,0,0,0,0,0,0,6,1,0,0,0
麻布,52,0,0,0,0,0,0,0,1,3,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,8,12,6,0,0,0,0,0,0,0,0,1,0,0,0
