科目,令和4年度（千円）,令和3年度（千円）,対前年増減（千円）,増減率 （％）
合計,255544040,248825623,6718417,2.7
消防費,255543884,248825376,6718508,2.7
消防費_消防管理費,202384862,198094876,4289986,2.2
消防費_消防活動費,23473000,23368000,105000,0.4
消防費_消防団費,3826000,3900000,-74000,-1.9
消防費_退職手当及年金費,9902022,8394500,1507522,18.0
消防費_建設費,15958000,15068000,890000,5.9
諸支出金,156,247,-91,-
諸支出金_諸費,156,247,-91,-
