区分,計,交通事故,火災,運動競技,自然災害,水難事故,労働災害,一般負傷,自損行為,加害事故,急病,転院搬送
平成30年,726428,45333,682,5409,20,487,5222,133410,3608,5272,484162,42823
令和元年,731900,42844,606,5256,14,455,5314,133728,3833,4813,490379,44658
令和2年,625639,35653,616,2917,7,363,4450,119645,3978,3915,415596,38499
令和3年,630287,35577,565,3465,10,257,4501,114823,4051,3601,421778,41659
令和4年,708695,36662,584,4547,4,261,5118,129783,4525,3711,482080,41420
性別_男,360335,22998,353,3584,2,139,4067,59834,1439,2337,243436,22146
性別_女,348360,13664,231,963,2,122,1051,69949,3086,1374,238644,19274
年齢別_0-2歳,22572,319,3,0,0,13,0,5146,0,12,14820,2259
年齢別_3-5歳,12166,569,6,16,0,2,0,3431,0,11,7645,486
年齢別_6-14歳,17821,1932,8,998,1,7,0,4468,75,149,9685,498
年齢別_15-19歳,16041,1955,20,1033,0,2,137,1793,432,144,10223,302
年齢別_20-29歳,65037,5049,66,944,0,8,912,6692,1556,797,47409,1604
年齢別_30-39歳,48883,4456,56,525,0,8,725,5072,679,691,34145,2526
年齢別_40-49歳,51857,5282,75,442,0,3,959,6239,563,654,35222,2418
年齢別_50-59歳,66316,6120,96,273,1,9,1106,9690,558,580,44125,3758
年齢別_60-64歳,31134,2137,38,70,0,9,427,5206,165,176,20880,2026
年齢別_65-69歳,33512,1807,43,78,0,8,299,6038,82,131,22637,2389
年齢別_70歳以上,343356,7036,173,168,2,192,553,76008,415,366,235289,23154
高齢者（65歳以上）,376868,8843,216,246,2,200,852,82046,497,497,257926,25543
曜日別_日曜日,98092,4330,74,1399,0,46,369,18684,671,697,68668,3154
曜日別_月曜日,105206,5167,92,393,0,33,769,18216,654,410,72609,6863
曜日別_火曜日,100288,5052,85,400,1,45,834,17559,683,487,68433,6709
曜日別_水曜日,99272,5253,70,430,1,24,824,17796,616,489,67346,6423
曜日別_木曜日,99125,5396,78,469,1,34,858,18016,655,462,67131,6025
曜日別_金曜日,102500,5674,91,454,1,40,801,19370,669,502,68037,6861
曜日別_土曜日,104212,5790,94,1002,0,39,663,20142,577,664,69856,5385
年末・年始,12145,397,14,24,0,18,36,2568,62,84,8474,468
祝日,27799,1217,24,262,1,7,157,5254,180,179,19536,982
程度別_軽症,378221,29152,274,3512,2,19,3379,85101,1532,3095,248685,3470
程度別_中等症,277104,6552,176,1008,2,24,1495,41634,1592,556,194427,29638
程度別_重症,32331,682,70,22,0,20,178,1667,627,44,22447,6574
程度別_重篤,13561,242,35,5,0,73,57,867,444,14,10129,1695
程度別_死亡,7478,34,29,0,0,125,9,514,330,2,6392,43
