年別,住宅火災（％）,住宅火災以外の建物から出火した火災（％）
平成25年,56.8,43.2
平成26年,58.9,41.1
平成27年,59.3,40.7
平成28年,55.8,44.2
平成29年,58.5,41.5
平成30年,56.9,43.1
令和元年,54.9,45.1
令和2年,59.8,40.2
令和3年,59.4,40.6
令和4年,57.8,42.2
