消防署,警報設備・自動火災報知設備・対象物数,警報設備・自動火災報知設備・設備数,警報設備・ガス漏れ火災警報設備・対象物数,警報設備・ガス漏れ火災警報設備・設備数,警報設備・漏電火災警報器・対象物数,警報設備・漏電火災警報器・設備数,警報設備・消防機関へ通報する火災通報装置・対象物数,警報設備・消防機関へ通報する火災通報装置・設備数,警報設備・非常ベル・自動式サイレン対象物数,警報設備・非常ベル・自動式サイレン設備数,警報設備・放送設備・対象物数,警報設備・放送設備・設備数,避難設備・救助袋・対象物数,避難設備・救助袋・設備数,避難設備・緩降機・対象物数,避難設備・緩降機・設備数,避難設備・避難はしご・対象物数,避難設備・避難はしご・設備数,避難設備・誘導灯・対象物数
平成30年度,224250,278742,5168,6820,20361,20269,10423,8182,62268,91796,26726,24176,4871,10023,27507,42563,172416,417697,177370
令和元年度,227830,200466,5265,5037,20230,19681,10882,8600,62366,81325,27178,22829,4953,8483,27846,35606,176163,226867,181850
令和2年度,230268,205505,5339,4943,20030,20322,11217,8903,62376,78561,27540,22959,5001,8134,28131,33293,179631,212665,185175
令和3年度,233120,209996,5435,4833,19847,20008,11473,9169,62437,76353,27823,23525,5059,7877,28538,32257,183700,206206,188875
令和4年度,235556,214859,5503,4929,19577,19673,11667,9365,62440,74873,28187,23946,5112,7788,28884,31658,187406,204799,192395
特別区,175406,163685,4429,3905,12516,11953,8007,6347,45751,55794,21378,18508,3847,5919,25517,27667,152899,163638,151694
丸の内,342,388,107,108,8,9,41,31,49,50,189,194,21,67,39,112,64,120,380
麹町,1812,1959,166,142,8,10,81,59,329,566,511,586,65,144,318,573,1058,2000,1909
神田,3665,3571,107,57,18,20,100,98,957,935,713,589,75,84,1183,1164,2785,1896,4349
京橋,3054,3010,200,167,11,17,96,78,524,672,822,694,59,117,764,1515,2222,3115,3370
日本橋,3073,3035,110,110,17,19,110,93,625,762,612,562,88,262,741,1658,2230,2674,3373
臨港,679,1638,48,44,5,5,26,23,97,179,136,137,22,25,84,113,491,1697,603
芝,3502,3475,296,200,20,16,156,124,654,804,894,767,87,143,837,808,2499,4057,3768
麻布,2366,2296,98,82,26,24,132,77,516,733,415,336,37,43,467,482,1910,1924,2593
赤坂,2190,2117,120,113,17,17,87,80,350,385,402,386,42,81,459,790,1438,2520,2372
高輪,1530,1625,89,101,35,38,90,57,260,343,328,256,39,56,224,321,1170,1211,1400
品川,2966,2594,103,86,77,79,148,116,544,602,476,379,56,81,418,442,1677,1258,2695
大井,1875,1689,52,27,125,123,95,70,431,548,201,174,35,45,222,205,1575,1511,1634
荏原,2096,1793,21,18,210,209,74,39,605,768,189,156,38,46,434,271,3069,2437,2167
大森,4018,3829,70,69,320,322,164,123,890,1271,296,253,79,166,423,550,3446,5658,3235
田園調布,2839,2375,26,19,255,246,121,110,795,822,159,149,59,64,315,155,2508,1042,2161
蒲田,3038,2591,63,61,153,136,158,126,819,796,279,248,46,89,312,257,3058,1859,2608
矢口,1930,1704,30,23,208,190,81,63,602,607,163,145,41,68,283,214,2202,1730,1748
目黒,5189,4540,154,169,400,400,153,138,1314,1745,467,419,99,176,750,723,5310,5275,4886
世田谷,6927,5856,141,156,852,822,222,170,1897,2853,564,512,132,186,678,809,6404,10940,5548
玉川,3675,4282,83,86,371,377,164,148,996,1241,297,220,87,92,411,349,3324,3722,2846
成城,3569,3012,45,34,222,201,260,229,945,915,306,268,104,142,282,247,2445,2357,2231
渋谷,8193,7724,324,295,149,152,232,172,1935,3142,1169,1033,164,312,1857,2764,6628,10975,8634
四谷,1967,1869,83,70,38,36,63,58,464,349,333,314,37,33,468,331,1613,886,2097
牛込,2479,2310,76,26,62,57,97,82,736,406,318,233,41,31,529,193,2600,714,2630
新宿,5313,4990,176,179,253,242,280,247,1232,1994,900,848,97,212,966,1754,4174,7490,4823
中野,2842,2608,81,80,251,244,91,80,907,920,243,208,48,53,573,272,3680,1979,2593
野方,2398,1796,26,17,631,574,123,105,717,588,105,82,42,46,286,130,2837,1425,1726
杉並,4618,3895,82,74,1145,1112,209,170,1408,1888,337,281,89,159,514,572,4944,6051,3841
荻窪,3546,2791,47,39,886,808,196,161,1070,1745,261,198,68,103,383,400,3030,3069,2669
小石川,2441,2203,86,67,65,63,82,67,579,996,371,326,53,71,512,425,2533,2228,2213
本郷,2478,2243,83,76,83,82,97,69,709,915,397,315,54,106,439,484,2186,1741,2341
豊島,3415,3063,94,73,110,109,168,104,872,700,539,432,75,104,787,799,3241,1927,3304
池袋,2903,2555,67,69,266,256,191,88,745,940,321,256,49,54,555,532,3404,3744,2530
王子,1630,1435,32,27,140,146,80,54,437,699,214,190,54,90,242,251,1622,1884,1389
