夏季順位,年月日,出場件数（件）,熱中症疑い（人）,最高気温（℃）
1,2018-07-23（月）,3382,熱中症疑い（411人),39.0℃
2,2022-07ｰ01（金）,3274,熱中症疑い（390人),37.0℃
3,2022-07ｰ02（土）,3188,熱中症疑い（321人),35.2℃
4,2022-06ｰ30（木）,3150,熱中症疑い（404人),36.4℃
5,2018-07ｰ22（日）,3124,熱中症疑い（365人),35.4℃
