消防署,出場件数・計,出場件数・危険排除・小計,出場件数・危険排除・電気,出場件数・危険排除・ガス,出場件数・危険排除・危険物,出場件数・危険排除・毒物劇物,出場件数・危険排除・ＲＩ,出場件数・危険排除・火気取扱,出場件数・危険排除・異臭等,出場件数・応急措置・小計,出場件数・応急措置・洗浄,出場件数・応急措置・救援,出場件数・応急措置・排水,出場件数・応急措置・照明,出場件数・応急措置・除去,出場件数・警戒,出場件数・その他・小計,出場件数・その他・哺乳類,出場件数・その他・昆虫類,出場件数・その他・その他の動物,出場件数・その他・左記以外,出場車両・計,出場車両・ポンプ車,出場車両・化学車,出場車両・救助車,出場車両・はしご車,出場車両・空中作業車,出場車両・救急車,出場車両・救援車,出場車両・照明車,出場車両・消防艇,出場車両・ヘリコプター,出場車両・指揮隊車,出場車両・査察広報車,出場車両・その他,出場人員・計,出場人員・従事・当番,出場人員・従事・非番,出場人員・不従事・当番,出場人員・不従事・非番
平成30年,5665,3336,288,726,1885,132,0,183,122,297,0,2,47,0,248,228,1804,403,389,91,921,14321,6718,896,373,179,6,1268,0,0,13,2,4358,36,472,63084,42334,515,20047,188
令和元年,5767,3521,279,787,2009,146,0,183,117,348,2,0,57,1,288,183,1715,375,319,98,923,14723,6756,913,406,164,6,1343,0,0,17,3,4571,68,476,64570,43623,616,20103,228
令和2年,4945,3163,230,797,1669,174,0,196,97,194,3,1,34,1,155,155,1433,441,304,25,663,13025,5906,866,394,150,2,1172,1,5,35,1,3841,79,573,56853,38788,350,17614,101
令和3年,5135,3404,252,872,1740,186,0,192,162,181,2,2,51,1,125,91,1459,356,323,116,664,14270,6462,889,484,189,3,1349,1,2,18,2,4087,119,665,62086,40976,934,19867,309
令和4年,5309,3420,298,843,1787,190,0,185,117,149,0,0,45,0,104,446,1294,291,267,103,633,14521,6528,948,442,190,6,1332,0,0,8,3,4311,119,634,63162,41054,1285,20368,455
特別区,3436,2447,235,663,1207,143,0,110,89,123,0,0,38,0,85,39,827,210,102,52,463,10008,4533,564,337,161,6,917,0,0,8,0,2901,88,493,43622,28461,964,13914,283
丸の内,15,12,1,1,9,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,2,46,22,0,1,0,0,5,0,0,0,0,15,0,3,221,167,13,41,0
麹町,22,17,1,3,9,1,0,2,1,1,0,0,1,0,0,1,3,1,0,1,1,114,67,0,4,6,3,10,0,0,0,0,18,4,2,473,279,8,186,0
神田,48,37,7,8,20,2,0,0,0,5,0,0,2,0,3,0,6,0,0,0,6,178,93,0,6,6,0,18,0,0,0,0,47,2,6,806,553,26,222,5
京橋,40,31,1,8,16,0,0,3,3,1,0,0,0,0,1,1,7,0,1,0,6,128,42,16,5,2,0,16,0,0,0,0,39,1,7,586,401,11,174,0
日本橋,34,22,1,8,9,2,0,1,1,1,0,0,0,0,1,1,10,1,0,0,9,115,58,0,3,3,0,8,0,0,0,0,33,1,9,499,407,2,90,0
臨港,13,10,0,3,5,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,48,10,10,1,0,0,4,0,0,0,0,13,2,8,213,144,10,52,7
芝,53,46,2,8,32,2,0,1,1,4,0,0,2,0,2,0,3,0,0,1,2,142,55,12,4,3,0,11,0,0,0,0,50,2,5,658,536,17,102,3
麻布,33,21,2,9,8,0,0,2,0,3,0,0,0,0,3,0,9,2,1,1,5,129,74,5,4,6,0,7,0,0,0,0,29,4,0,560,258,20,276,6
赤坂,35,24,0,1,22,1,0,0,0,0,0,0,0,0,0,2,9,1,0,1,7,125,60,1,6,2,0,16,0,0,0,0,28,4,8,542,297,12,228,5
高輪,29,24,2,2,16,3,0,1,0,1,0,0,1,0,0,0,4,1,2,0,1,85,32,11,2,2,0,8,0,0,0,0,26,1,3,402,271,9,122,0
品川,54,44,5,10,24,2,0,2,1,0,0,0,0,0,0,0,10,2,0,3,5,178,82,10,5,3,0,26,0,0,0,0,45,0,7,757,554,21,182,0
大井,50,40,1,12,20,6,0,0,1,0,0,0,0,0,0,0,10,1,2,0,7,167,81,6,3,5,0,16,0,0,0,0,44,0,12,730,573,3,150,4
荏原,36,27,7,11,7,2,0,0,0,4,0,0,1,0,3,0,5,2,1,1,1,79,42,0,0,1,0,3,0,0,0,0,31,0,2,380,221,9,137,13
大森,95,60,0,15,40,3,0,1,1,5,0,0,1,0,4,1,29,7,0,3,19,296,110,44,10,5,0,32,0,0,0,0,82,3,10,1265,746,37,476,6
田園調布,62,42,3,10,23,2,0,3,1,1,0,0,0,0,1,2,17,9,2,1,5,150,63,18,3,1,0,10,0,0,0,0,50,0,5,647,432,12,202,1
蒲田,74,46,7,12,22,3,0,2,0,2,0,0,1,0,1,14,12,4,2,2,4,248,115,22,5,6,0,20,0,0,0,0,65,4,11,1074,494,15,544,21
矢口,35,23,0,9,9,0,0,2,3,4,0,0,2,0,2,0,8,1,2,0,5,117,48,13,6,3,0,10,0,0,0,0,32,0,5,516,315,0,200,1
目黒,78,49,13,12,23,1,0,0,0,5,0,0,2,0,3,0,24,6,4,0,14,196,96,4,6,4,0,16,0,0,0,0,65,0,5,872,606,25,231,10
世田谷,135,89,10,35,30,5,0,2,7,2,0,0,0,0,2,2,42,6,2,0,34,397,165,16,16,2,0,26,0,0,0,0,122,0,50,1678,1010,3,662,3
玉川,76,49,2,13,23,5,0,5,1,4,0,0,2,0,2,1,22,13,1,1,7,213,99,0,9,1,0,20,0,0,0,0,60,1,23,888,583,19,278,8
成城,80,50,4,12,28,4,0,0,2,2,0,0,1,0,1,0,28,9,2,3,14,236,115,1,12,1,0,26,0,0,0,0,63,0,18,996,521,16,453,6
渋谷,108,80,9,18,36,6,0,5,6,1,0,0,1,0,0,0,27,4,3,1,19,377,175,3,17,14,0,41,0,0,0,0,91,0,36,1639,1103,9,524,3
四谷,33,28,1,4,18,0,0,5,0,2,0,0,1,0,1,0,3,0,0,0,3,144,76,0,6,12,2,17,0,0,0,0,31,0,0,601,298,11,287,5
牛込,36,22,0,12,8,1,0,1,0,7,0,0,1,0,6,0,7,2,0,0,5,111,54,0,7,2,1,7,0,0,0,0,34,2,4,509,380,6,123,0
新宿,111,77,8,31,25,3,0,9,1,7,0,0,1,0,6,0,27,7,2,3,15,383,189,0,21,15,0,38,0,0,0,0,98,2,20,1665,978,15,668,4
中野,51,43,7,14,15,6,0,1,0,0,0,0,0,0,0,0,8,3,0,1,4,150,67,0,7,2,0,5,0,0,0,0,45,0,24,650,473,23,150,4
野方,44,31,5,12,9,4,0,1,0,2,0,0,0,0,2,1,10,4,1,0,5,121,47,8,6,1,0,4,0,0,0,0,38,0,17,515,337,27,141,10
杉並,103,75,10,31,28,2,0,3,1,6,0,0,0,0,6,0,22,6,3,2,11,239,124,0,3,2,0,13,0,0,0,0,89,0,8,1030,609,22,387,12
荻窪,71,55,8,21,20,2,0,2,2,1,0,0,0,0,1,0,15,2,3,4,6,228,91,27,9,6,0,26,0,0,0,0,58,0,11,965,635,6,321,3
小石川,34,28,2,7,16,3,0,0,0,0,0,0,0,0,0,0,6,0,1,0,5,115,59,0,4,1,0,12,0,0,0,0,32,1,6,502,308,14,177,3
本郷,47,36,5,13,13,3,0,2,0,0,0,0,0,0,0,1,10,0,1,1,8,144,73,0,4,2,0,12,0,0,0,0,42,2,9,627,464,34,125,4
豊島,55,34,4,11,14,0,0,3,2,0,0,0,0,0,0,0,21,9,2,3,7,123,69,0,1,2,0,9,0,0,0,0,40,0,2,557,319,18,211,9
池袋,47,32,5,19,7,1,0,0,0,0,0,0,0,0,0,0,15,4,2,0,9,115,63,0,3,2,0,5,0,0,0,0,41,0,1,515,305,29,172,9
王子,44,33,3,7,14,1,0,1,7,2,0,0,0,0,2,0,9,7,0,0,2,141,73,5,7,1,0,10,0,0,0,0,37,0,8,614,464,15,135,0
赤羽,43,31,2,9,15,2,0,0,3,2,0,0,2,0,0,1,9,5,0,0,4,108,54,2,2,0,0,8,0,0,0,0,38,0,4,489,341,22,124,2
滝野川,32,25,5,5,12,2,0,1,0,1,0,0,0,0,1,0,6,3,2,0,1,99,55,1,3,2,0,9,0,0,0,0,26,1,2,424,221,8,190,5
板橋,71,46,4,10,25,2,0,3,2,2,0,0,1,0,1,1,22,2,6,1,13,201,92,17,7,3,0,21,0,0,0,0,55,1,5,886,544,34,300,8
志村,113,80,4,19,36,6,0,8,7,1,0,0,0,0,1,0,32,4,9,0,19,330,135,38,11,2,0,29,0,0,2,0,95,3,15,1405,929,35,431,10
練馬,66,48,8,17,20,2,0,0,1,3,0,0,1,0,2,0,15,3,0,1,11,168,60,28,2,0,0,12,0,0,0,0,58,0,8,740,504,8,215,13
光が丘,49,33,4,3,22,0,0,4,0,3,0,0,1,0,2,2,11,7,0,2,2,113,56,0,3,2,0,14,0,0,0,0,38,0,0,495,274,18,196,7
石神井,86,59,4,15,29,4,0,5,2,4,0,0,1,0,3,0,23,8,1,4,10,207,111,1,5,1,0,12,0,0,0,0,70,1,6,919,601,31,278,9
上野,49,35,2,6,19,5,0,0,3,2,0,0,1,0,1,0,12,0,1,0,11,153,72,0,7,3,0,17,0,0,0,0,46,1,7,693,453,15,220,5
浅草,31,14,3,4,7,0,0,0,0,3,0,0,1,0,2,0,14,0,0,0,14,86,37,0,2,4,0,9,0,0,0,0,32,0,2,407,309,6,89,3
日本堤,36,29,2,9,9,3,0,3,3,0,0,0,0,0,0,0,7,2,1,0,4,93,51,0,0,0,0,2,0,0,0,0,33,0,7,431,291,15,122,3
荒川,57,41,1,21,14,2,0,2,1,1,0,0,1,0,0,0,15,5,1,0,9,143,70,7,3,1,0,11,0,0,0,0,48,0,3,635,437,20,175,3
尾久,29,18,4,2,7,3,0,2,0,0,0,0,0,0,0,0,11,3,2,1,5,90,38,13,1,1,0,7,0,0,0,0,24,2,4,397,298,30,69,0
