類別,計,製造所,貯蔵所・小計,貯蔵所・屋内,貯蔵所・屋外タンク,貯蔵所・屋内タンク,貯蔵所・地下タンク,貯蔵所・簡易タンク,貯蔵所・移動タンク,貯蔵所・屋外,取扱所・小計,取扱所・給油,取扱所・第１種販売,取扱所・第２種販売,取扱所・移送,取扱所・一般
平成30年度末,12599,68,7914,1724,352,1165,2958,7,1546,162,4617,1690,216,91,12,2608
平成30年度末（島しょ）,436,0,309,23,104,17,55,1,57,52,127,64,0,0,11,52
令和元年度末,12516,65,7819,1695,345,1146,2971,7,1497,158,4632,1661,207,89,11,2664
令和元年度末（島しょ）,432,0,303,20,104,17,55,1,55,51,129,64,0,0,10,55
平成2年度末,12492,64,7796,1666,338,1141,2970,10,1512,159,4632,1639,197,87,11,2698
平成2年度末（島しょ）,435,0,304,20,105,17,54,1,55,52,131,64,0,0,10,57
令和3年度末,12414,64,7759,1650,329,1151,2961,8,1510,150,4591,1613,189,86,11,2692
令和3年度末（島しょ）,432,0,302,19,105,17,54,1,57,49,130,63,0,0,10,57
令和4年度,12394,62,7746,1632,311,1162,2975,8,1509,149,4586,1583,183,85,11,2724
令和4年度,415,0,286,19,93,17,54,1,54,48,129,63,0,0,10,56
5倍以下,4649,22,3454,921,55,612,960,8,849,49,1173,26,66,1,0,1080
5倍以下（島しょ）,120,0,93,8,10,8,27,1,28,11,27,7,0,0,0,19
5倍をこえ10倍以下,2662,18,1629,357,37,488,602,0,82,63,1015,110,46,2,0,857
5倍をこえ10倍以下（島しょ）,0,0,59,2,5,9,10,0,5,28,59,4,0,82,0,19
10倍をこえ50倍以下,2954,14,1660,302,78,62,961,0,225,32,1280,419,71,83,0,707
10倍をこえ50倍以下（島しょ）,83,0,59,6,23,0,11,0,12,7,24,11,0,0,0,13
50倍をこえ100倍以下,808,4,572,23,32,0,271,0,245,1,232,195,0,0,4,33
50倍をこえ100倍以下（島しょ）,66,0,33,3,15,0,5,0,9,1,33,27,0,0,4,2
100倍をこえ150倍以下,316,0,189,11,19,0,81,0,77,1,127,121,0,0,0,6
100倍をこえ150倍以下（島しょ）,27,0,16,0,16,0,0,0,0,0,11,10,0,0,0,1
150倍をこえ200倍以下,216,0,60,5,8,0,40,0,4,3,156,152,0,0,0,4
150倍をこえ200倍以下（島しょ）,6,0,1,0,0,0,0,0,0,1,5,4,0,0,0,1
"200倍をこえ1,000倍以下",726,3,141,12,45,0,57,0,27,0,582,556,0,0,4,22
"200倍をこえ1,000倍以下（島しょ）",23,0,18,0,17,0,1,0,0,0,5,0,0,0,4,1
"1,000倍をこえ5,000倍以下",42,1,23,1,19,0,3,0,0,0,18,4,0,0,2,12
"1,000倍をこえ5,000倍以下（島しょ）",9,0,7,0,7,0,0,0,0,0,2,0,0,0,2,0
"5,000倍をこえ10,000倍以下",16,0,15,0,15,0,0,0,0,0,1,0,0,0,0,1
"5,000倍をこえ10,000倍以下（島しょ）",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10,000倍をこえるもの",6,0,3,0,3,0,0,0,0,0,3,0,0,0,1,2
"10,000倍をこえるもの（島しょ）",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
