区分,計・件数,計・時間,ちどり・件数,ちどり・時間,旧ひばり・件数,旧ひばり・時間,ひばり・件数,ひばり・時間,かもめ・件数,かもめ・時間,ゆりかもめ・件数,ゆりかもめ・時間,つばめ・件数,つばめ・時間,はくちょう・件数,はくちょう・時間,こうのとり・件数,こうのとり・時間,おおたか・件数,おおたか・時間
平成29年,1755,2163:26,131,168:02,130,175:51,0,0:00,225,266:03,205,256:59,307,306:12,241,352:53,231,325:21,285,312:05
平成30年,1607,2023:43,256,294:17,213,306:09,0,0:00,257,289:10,180,253:56,92,85:29,136,195:41,225,302:02,248,296:59
令和元年,1764,2137:05,168,196:16,164,199:19,118,154:39,175,195:53,209,267:03,242,271:35,208,272:07,194,245:39,286,334:34
令和2年,1525,2115:36,213,269:43,0,0:00,138,213:28,313,402:13,147,184:30,185,258:35,113,170:02,213,282:31,203,334:34
令和3年,1642,2090:22,236,274:02,0,0:00,167,222:29,173,218:35,122,154:06,205,249:50,279,380:10,164,217:36,296,373:34
火災,42,46:20,12,11:28,0,0:00,0,0:00,8,8:06,0,0:00,7,10:07,0,0:00,0,0:00,15,16:39
救急,306,358:01,48,38:24,0,0:00,30,44:03,12,9:51,43,54:45,16,13:01,98,136:11,43,57:46,16,4:00
救難,69,63:01,20,15:44,0,0:00,1,2:55,4,4:50,7,7:41,6,3:38,11,14:08,7,4:42,13,9:23
非常時災害,4,1:27,0,0:00,0,0:00,0,0:00,2,0:40,0,0:00,0,0:00,0,0:00,0,0:00,2,0:47
演習,18,21:15,2,4:55,0,0:00,3,3:23,5,4:45,0,0:00,5,5:15,1,1:42,0,0:00,2,1:15
調査,11,9:15,0,0:00,0,0:00,0,0:00,1,0:40,2,1:40,0,0:00,4,3:30,3,2:25,1,1:00
警戒,4,2:29,1,0:46,0,0:00,0,0:00,0,0:00,0,0:00,2,1:10,0,0:00,0,0:00,1,0:33
広報,0,0:00,0,0:00,0,0:00,0,0:00,0,0:00,0,0:00,0,0:00,0,0:00,0,0:00,0,0:00
航空写真,18,24:08,0,0:00,0,0:00,0,0:00,2,2:35,0,0:00,10,12:48,0,0:00,0,0:00,6,8:45
輸送,181,112:21,15,8:40,0,0:00,22,11:55,27,18:33,12,12:25,18,10:47,25,15:05,21,14:20,41,20:36
検査,18,27:52,2,3:25,0,0:00,4,5:40,2,3:10,1,1:15,1,1:45,3,5:00,3,5:07,2,2:30
試験,83,83:13,9,9:03,0,0:00,10,12:25,11,9:50,9,8:35,23,20:25,12,12:45,6,5:35,3,4:35
実験,4,4:30,2,2:10,0,0:00,0,0:00,1,1:20,0,0:00,1,1:00,0,0:00,0,0:00,0,0:00
特救隊訓練,12,19:25,2,2:05,0,0:00,0,0:00,1,1:25,0,0:00,0,0:00,1,1:05,2,2:55,6,11:55
自隊訓練,651,978:43,99,142:19,0,0:00,48,72:00,71,108:46,36,51:25,94,134:36,91,143:40,63,100:26,149,225:31
養成訓練,185,275:28,19,26:50,0,0:00,43,61:15,21,34:20,11,15:55,19,27:58,23,30:55,12,18:35,37,59:40
行事教養,14,32:09,2,2:25,0,0:00,0,0:00,5,9:44,1,0:25,3,7:20,1,5:15,0,0:35,2,6:25
行政,22,30:45,3,5:48,0,0:00,6,8:53,0,0:00,0,0:00,0,0:00,9,10:54,4,5:10,0,0:00
