主な出火原因,件数,割合
合計,"3,952",
放火（疑いを含む）,601,15.2
たばこ,569,14.4
ガステーブル等,331,8.4
大型ガスこんろ,96,2.4
コンセント,89,2.3
電気ストーブ,89,2.3
その他,"2,177",55.1
,,
