消防署,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,"焼損床面積（㎡）",損害額（円）,死者,負傷者
平成30年,705,276,7,3,46,220,0,17,0,0,412,1178,171864302,14,60
令和元年,641,255,14,6,39,196,1,12,0,0,373,1937,525966877,26,67
令和2年,641,270,6,8,38,218,0,21,0,0,350,995,380515829,19,58
令和3年,590,213,6,2,33,172,1,12,0,0,364,1290,260091391,17,27
令和4年,601,207,8,8,37,154,2,11,0,0,381,1141,220907272,10,38
特別区,386,134,5,5,26,98,0,7,0,0,245,629,138849852,3,28
丸の内,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
麹町,1,0,0,0,0,0,0,0,0,0,1,0,400,0,1
神田,3,2,0,0,0,2,0,0,0,0,1,0,1200,0,0
京橋,5,0,0,0,0,0,0,0,0,0,5,0,13800,0,0
日本橋,2,1,0,0,0,1,0,0,0,0,1,0,7300,0,0
臨港,2,1,0,0,0,1,0,0,0,0,1,0,1430,0,0
芝,2,0,0,0,0,0,0,0,0,0,2,0,800,0,0
麻布,3,2,0,0,0,2,0,0,0,0,1,0,6200,0,0
赤坂,2,0,0,0,0,0,0,0,0,0,2,0,200,0,0
高輪,5,3,0,0,0,3,0,1,0,0,1,0,6400,0,0
品川,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大井,2,0,0,0,0,0,0,0,0,0,2,0,300,0,0
荏原,2,2,0,0,0,2,0,0,0,0,0,0,1300,0,0
大森,14,5,0,0,1,4,0,0,0,0,9,2,128030,0,1
田園調布,2,0,0,0,0,0,0,0,0,0,2,0,300,0,0
蒲田,10,2,0,0,0,2,0,0,0,0,8,0,85298,0,0
矢口,4,1,0,0,1,0,0,1,0,0,2,0,1197000,0,1
目黒,6,2,0,0,0,2,0,0,0,0,4,0,16000,0,0
世田谷,8,4,0,1,1,2,0,0,0,0,4,106,25269710,0,4
玉川,5,3,1,0,0,2,0,0,0,0,2,40,3288180,0,0
成城,7,2,0,1,0,1,0,0,0,0,5,42,14956600,1,2
渋谷,11,5,0,0,1,4,0,0,0,0,6,21,12723100,0,2
四谷,8,2,0,0,0,2,0,1,0,0,5,0,14000,0,0
牛込,3,1,0,0,0,1,0,0,0,0,2,0,1700,0,0
新宿,15,6,0,1,1,4,0,0,0,0,9,38,4920700,0,0
中野,2,2,1,0,0,1,0,0,0,0,0,51,7431500,0,2
野方,3,2,0,0,1,1,0,0,0,0,1,0,85700,0,0
