時間帯,火災件数・計,火災件数・建物・小計,"火災件数・建物・焼損床面積なし",火災件数・建物・50㎡未満,"火災件数・建物・50㎡以上～100㎡未満","火災件数・建物・100㎡以上～200㎡未満","火災件数・建物・200㎡以上～300㎡未満","火災件数・建物・300㎡以上～400㎡未満","火災件数・建物・400㎡以上～500㎡未満","火災件数・建物・500㎡以上～600㎡未満","火災件数・建物・600㎡以上～700㎡未満","火災件数・建物・700㎡以上～800㎡未満","火災件数・建物・800㎡以上～900㎡未満","火災件数・建物・900㎡以上～1,000㎡未満",火災件数・建物・1000㎡以上,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,火災件数・治外法権,火災件数・管外からの延焼火災,り災世帯数,り災人員,焼損棟数,焼損床面積（㎡）,損害額（円）,死者,負傷者
平成30年,3973,2696,2306,291,58,26,9,0,1,1,3,0,0,0,1,2,225,3,0,1046,1,0,2200,4239,2999,18604,6070982850,86,798
令和元年,4089,2904,2484,323,45,38,9,2,1,1,1,0,0,0,0,5,206,1,0,969,3,1,2335,4395,3284,18295,7688941420,108,705
令和2年,3694,2667,2316,267,51,28,2,0,0,2,0,0,0,0,1,1,216,0,0,809,1,0,2239,4270,3028,16136,5587944177,86,710
令和3年,3939,2812,2438,281,47,35,8,1,2,0,0,0,0,0,0,6,215,1,0,901,4,0,2382,4527,3228,16448,4208012095,86,664
令和4年,3953,2850,2459,285,50,43,2,4,2,0,1,0,1,0,3,3,187,3,0,909,1,0,2499,4786,3259,21974,5466720488,89,742
昼間,1983,1445,1227,162,26,23,1,2,2,0,1,0,0,0,1,1,127,3,0,407,0,0,1217,2359,1687,12005,2929130173,42,390
６時台,80,56,43,8,3,2,0,0,0,0,0,0,0,0,0,0,10,1,0,13,0,0,62,105,69,548,107316739,1,27
７時台,110,90,68,14,6,1,0,1,0,0,0,0,0,0,0,0,3,0,0,17,0,0,113,208,112,1089,139128404,10,22
８時台,154,108,89,16,0,3,0,0,0,0,0,0,0,0,0,0,16,0,0,30,0,0,86,176,125,719,206998178,6,31
９時台,174,132,110,13,3,4,0,0,0,0,1,0,0,0,1,0,18,1,0,23,0,0,121,230,179,3676,649126184,6,31
10時台,193,145,131,12,1,0,0,1,0,0,0,0,0,0,0,0,17,0,0,31,0,0,96,194,155,582,194619833,0,39
11時台,169,117,102,14,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,35,0,0,77,136,128,373,100565551,4,31
12時台,183,134,113,17,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,46,0,0,103,203,154,445,135941598,2,42
13時台,221,160,137,16,3,3,0,0,1,0,0,0,0,0,0,1,13,0,0,47,0,0,173,282,187,1417,253024094,4,42
14時台,193,139,118,15,2,3,1,0,0,0,0,0,0,0,0,0,9,1,0,44,0,0,122,242,172,1075,325302732,2,46
15時台,177,125,112,9,1,3,0,0,0,0,0,0,0,0,0,0,10,0,0,42,0,0,108,224,139,669,199755121,3,33
16時台,167,117,102,14,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,43,0,0,69,149,121,583,78580140,3,25
17時台,162,122,102,14,3,3,0,0,0,0,0,0,0,0,0,0,4,0,0,36,0,0,87,210,146,829,538771599,1,21
夜間,1451,1073,903,120,24,20,1,2,0,0,0,0,1,0,2,2,55,0,0,320,1,0,1142,2181,1240,9956,2520455224,42,339
18時台,171,127,107,15,3,1,0,1,0,0,0,0,0,0,0,1,5,0,0,37,1,0,100,214,158,889,173301479,2,37
19時台,194,144,128,10,1,4,0,1,0,0,0,0,0,0,0,1,6,0,0,43,0,0,211,494,159,1136,118500197,4,34
20時台,178,132,120,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,40,0,0,121,215,138,254,234843804,2,32
21時台,165,119,109,8,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,40,0,0,100,188,123,211,29961073,2,32
22時台,120,85,79,3,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,31,0,0,89,161,97,425,73777511,3,25
23時台,109,85,72,11,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,21,0,0,79,157,89,241,88108154,2,29
０時台,121,84,68,10,3,3,0,0,0,0,0,0,0,0,0,0,5,0,0,32,0,0,86,140,99,772,162550129,5,26
１時台,99,66,51,7,4,3,0,0,0,0,0,0,1,0,0,0,7,0,0,26,0,0,66,108,81,1542,306673875,2,11
２時台,72,54,37,14,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,17,0,0,57,94,62,1377,135297477,5,24
３時台,72,56,39,10,3,4,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,77,144,77,942,173169097,7,33
４時台,84,69,56,9,2,0,1,0,0,0,0,0,0,0,1,0,3,0,0,12,0,0,66,116,95,1526,716699181,3,28
５時台,66,52,37,11,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,90,150,62,641,307573247,5,28
不明,519,332,329,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,182,0,0,140,246,332,13,17135091,5,13
