資格,免状交付,免状総交付数
危険物取扱者,16459,942613
甲種,1095,39733
乙種,14957,791875
乙種・第１類,670,20703
乙種・第２類,703,22392
乙種・第３類,887,25051
乙種・第４類,10995,671938
乙種・第５類,838,22733
乙種・第６類,864,29058
丙種,407,111005
消防設備士,8311,283582
甲種,4039,129084
甲種・特類,116,1584
甲種・第１類,819,33946
甲種・第２類,368,11213
甲種・第３類,360,9729
甲種・第４類,1992,62732
甲種・第５類,384,9880
乙種,4272,154498
乙種・第１類,114,7465
乙種・第２類,40,2838
乙種・第３類,68,2906
乙種・第４類,704,26587
乙種・第５類,103,4986
乙種・第６類,2375,76467
乙種・第７類,868,33249
自衛消防技術試験,4633,151498
