年,2018,2019,2020,2021,2022,全国（2021 )
出場件数(件),818062,825929,720965,743703,872075,6193581
1日平均件数(件),2241,2263,1970,2038,2389,16969
出場頻度(秒),39,38,44,42,36,5.1
