"応援を受けた消防署",応援消防本部,件数・計,件数・普通応援,件数・特別応援,出場車両・計,出場車両・ポンプ車,出場車両・救急車,出場車両・特殊車,出場車両・その他,従事・件数,従事・台数,従事・放水口数,従事・使用ホース数,従事・放水時間（分）,出場人員・計,出場人員・従事,出場人員・不従事
平成30年,合計,414,409,5,676,481,75,64,56,85,204,5,15,75,2538,749,1789
令和元年,合計,491,487,4,883,573,163,75,72,130,327,108,107,464,3375,1459,1916
令和2年,合計,363,354,9,622,426,65,72,59,137,314,8,48,260,2337,1106,1231
令和3年,合計,392,383,9,697,465,83,68,81,136,285,6,26,299,2563,1156,1407
令和4年,合計,432,419,13,659,478,59,51,71,87,216,6,44,154,2432,761,1671
田園調布,川崎市,13,13,0,16,16,0,0,0,0,0,0,0,0,68,0,68
蒲田,川崎市,28,28,0,43,29,4,7,3,3,16,1,2,4,171,61,110
矢口,川崎市,17,17,0,21,21,0,0,0,0,0,0,0,0,86,0,86
玉川,川崎市,12,12,0,25,14,3,5,3,7,25,0,0,0,99,52,47
成城,川崎市,1,1,0,5,1,1,1,2,1,5,0,0,0,18,18,0
赤羽,川口市,7,7,0,35,15,3,11,6,7,35,0,0,0,114,114,0
赤羽,戸田市,1,1,0,5,1,1,2,1,0,0,0,0,0,11,0,11
足立,草加八潮,31,31,0,31,31,0,0,0,0,0,0,0,0,107,0,105
西新井,草加八潮,2,2,0,2,2,0,0,0,0,0,0,0,0,7,0,7
西新井,川口市,13,13,0,15,14,1,0,0,13,15,0,0,0,55,55,0
金町,草加八潮,3,3,0,3,3,0,0,0,0,0,0,0,0,9,0,9
金町,松戸市,12,12,0,12,12,0,0,0,7,0,0,0,0,42,23,19
葛西,市川市,1,0,1,7,0,1,0,6,0,0,0,0,0,22,0,22
葛西,浦安市,16,15,1,19,17,2,0,0,1,4,0,0,0,70,13,57
葛西,三郷市,6,6,0,6,6,0,0,0,0,0,0,0,0,22,0,22
小岩,市川市,28,24,4,49,28,4,0,17,0,0,0,0,0,184,0,184
江戸川,市川市,6,4,2,20,5,2,0,13,0,0,0,0,0,73,4,69
志村,戸田市,15,15,0,22,17,1,3,1,1,0,0,0,0,68,6,62
志村,埼玉県南西部,10,10,0,10,10,0,0,0,0,0,0,0,0,48,0,48
光が丘,埼玉県南西部,22,22,0,40,27,5,6,2,4,9,0,0,0,152,33,119
石神井,埼玉県南西部,34,34,0,40,34,6,0,0,5,9,1,3,28,163,40,123
府中,稲城市,11,7,4,33,20,4,4,5,3,19,2,18,60,97,53,44
調布,稲城市,13,12,1,18,15,1,1,1,0,0,0,0,0,56,0,59
東村山,埼玉西部,12,12,0,12,12,0,0,0,0,0,0,0,0,41,0,41
狛江,川崎市,12,12,0,13,13,0,0,0,0,0,0,0,0,52,0,52
清瀬,埼玉県南西部,8,8,0,9,8,1,0,0,1,2,0,0,0,39,8,31
清瀬,埼玉西部,3,3,0,3,3,0,0,0,1,1,0,0,0,12,4,8
東久留米,埼玉県南西部,8,8,0,8,8,0,0,0,0,0,0,0,0,36,0,36
八王子,相模原市,8,8,0,35,15,10,3,7,7,30,1,3,2,116,99,17
青梅,埼玉西武,4,4,0,4,4,0,0,0,0,0,0,0,0,14,0,14
町田,相模原市,36,36,0,36,36,0,0,0,0,0,0,0,0,145,0,145
町田,川崎市,1,1,,2,2,0,0,0,1,2,1,18,60,8,8,0
町田,大和市,7,7,0,7,7,0,0,0,0,0,0,0,0,26,0,26
町田,横浜市,26,26,0,46,26,9,8,3,25,44,0,0,0,176,170,6
福生,埼玉西部,3,3,0,5,4,0,0,1,0,0,0,0,0,16,0,16
多摩,稲城市,1,1,0,1,1,0,0,0,0,0,0,0,0,4,0,4
多摩,川崎市,1,1,0,1,1,0,0,0,0,0,0,0,0,4,0,4
