23区,平成30年,,令和元年,,令和２年,,令和３年,,令和４年,
,区,件数,区,件数,区,件数,区,件数,区,件数
1,大田区,196,新宿区,216,足立区,183,港区,213,港区,199
2,港区,193,世田谷区,212,港区,181,新宿区,199,新宿区,181
3,世田谷区,188,足立区,190,新宿区,180,世田谷区,196,大田区,173
4,足立区,187,港区,176,世田谷区,169,大田区,175,世田谷区,173
5,新宿区,179,大田区,171,大田区,168,足立区,174,江戸川区,160
