年齢(歳),0～2,3～5,6～14,15～19,20～29,30～39,40～49,50～59,60～64,65～69,70～74,75以上
男(人),12624,7335,11297,7846,29158,23914,29113,38990,19452,20857,32765,126984
女(人),9948,4831,6524,8195,35879,24969,22744,27326,11682,12655,21839,161768
合計(人),22572,12166,17821,16041,65037,48883,51857,66316,31134,33512,54604,288752
