消防署,合計・件数,合計・隊数,合計・人員,怪煙偵察・件数,怪煙偵察・隊数,怪煙偵察・人員,ベル鳴動・件数,ベル鳴動・隊数,ベル鳴動・人員,その他・件数,その他・隊数,その他・人員
平成30年,9577,15327,71013,551,1085,5098,8711,13671,63260,315,571,2655
令和元年,10934,16944,78089,581,1133,5288,10042,15239,70166,311,572,2635
令和2年,9710,15789,72775,586,1159,5409,8793,14023,64559,331,607,2807
令和3年,9909,16127,74554,534,1052,4901,8980,14374,66419,395,701,3234
令和4年,10349,16748,77287,545,1070,4975,9419,15018,69286,385,660,3026
特別区,8320,12956,59822,349,677,3182,7667,11770,54308,304,509,2332
丸の内,15,30,155,2,4,21,13,26,134,0,0,0
麹町,41,82,389,2,5,24,39,77,365,0,0,0
神田,98,193,1003,1,2,9,96,189,985,1,2,9
京橋,115,229,1149,4,9,43,108,214,1077,3,6,29
日本橋,95,97,424,0,0,0,95,97,424,0,0,0
臨港,31,62,317,1,3,17,29,57,288,1,2,12
芝,129,153,746,6,12,64,121,138,667,2,3,15
麻布,148,294,1416,3,6,29,141,280,1349,4,8,38
赤坂,87,175,848,3,7,33,81,161,782,3,7,33
高輪,69,141,742,3,7,36,63,127,672,3,7,34
品川,114,226,1068,5,9,43,109,217,1025,0,0,0
大井,122,234,1114,7,13,64,110,211,1002,5,10,48
荏原,109,216,1100,3,7,35,100,198,1009,6,11,56
大森,157,286,1318,10,20,92,140,253,1168,7,13,58
田園調布,124,249,1140,11,21,96,108,218,998,5,10,46
蒲田,116,233,1153,10,23,114,105,208,1029,1,2,10
矢口,79,117,524,8,16,75,66,92,408,5,9,41
目黒,256,311,1409,19,35,169,235,273,1226,2,3,14
世田谷,276,300,1263,17,31,139,250,256,1066,9,13,58
玉川,128,253,1147,3,4,17,120,239,1085,5,10,45
成城,134,260,1178,8,16,71,122,237,1075,4,7,32
渋谷,397,431,1942,11,20,99,383,406,1819,3,5,24
四谷,114,228,1060,1,2,9,113,226,1051,0,0,0
牛込,138,272,1285,0,0,0,136,268,1267,2,4,18
新宿,427,572,2734,15,27,131,407,539,2574,5,6,29
中野,142,278,1312,4,6,28,134,265,1251,4,7,33
野方,112,224,1015,5,10,47,106,212,959,1,2,9
杉並,229,253,1039,4,8,36,199,205,829,26,40,174
荻窪,208,333,1510,2,4,18,190,302,1369,16,27,123
小石川,91,180,844,8,16,75,79,155,727,4,9,42
本郷,116,229,1060,3,6,28,111,219,1014,2,4,18
豊島,207,235,1078,8,15,69,195,214,980,4,6,29
池袋,162,319,1500,8,16,74,150,298,1404,4,5,22
王子,82,162,755,1,2,9,74,148,693,7,12,53
赤羽,94,185,864,9,17,79,80,158,739,5,10,46
滝野川,71,140,644,5,9,41,61,121,555,5,10,48
板橋,181,203,861,9,15,68,166,181,764,6,7,29
志村,266,294,1207,10,19,85,247,260,1056,9,15,66
練馬,172,338,1579,5,10,46,163,320,1495,4,8,38
光が丘,82,158,741,6,12,57,73,140,656,3,6,28
石神井,130,246,1144,11,19,87,107,208,968,12,19,89
上野,168,332,1685,4,8,43,160,316,1602,4,8,40
浅草,88,176,906,1,2,11,86,172,886,1,2,9
日本堤,63,122,598,3,6,31,57,110,537,3,6,30
荒川,96,189,904,7,14,69,83,163,774,6,12,61
尾久,52,103,480,5,10,48,43,85,394,4,8,38
千住,62,163,644,5,11,48,56,149,586,1,3,10
足立,243,270,1119,12,25,119,226,238,970,5,7,30
西新井,108,131,553,12,24,109,89,95,391,7,12,53
本所,229,302,1456,9,16,79,216,281,1355,4,5,22
向島,67,135,621,1,3,13,63,126,581,3,6,27
深川,192,212,953,5,10,46,181,194,871,6,8,36
城東,161,176,734,4,8,36,153,164,681,4,4,17
本田,167,194,797,8,18,77,151,164,664,8,12,56
金町,97,167,794,8,12,53,84,147,703,5,8,38
江戸川,193,240,1073,6,12,55,149,175,779,38,53,239
葛西,282,413,1852,6,11,50,269,388,1742,7,14,60
小岩,188,210,876,2,4,18,176,190,788,10,16,70
受託地区,2029,3792,17465,196,393,1793,1752,3248,14978,81,151,694
立川,142,200,917,8,16,76,129,178,816,5,6,25
武蔵野,111,217,1024,2,4,20,106,207,975,3,6,29
三鷹,100,193,888,10,17,76,85,166,764,5,10,48
府中,137,267,1213,7,13,58,121,237,1079,9,17,76
昭島,49,99,461,4,9,40,43,86,402,2,4,19
調布,149,292,1335,8,15,69,137,268,1226,4,9,40
小金井,55,109,523,4,8,37,49,97,466,2,4,20
小平,81,161,741,12,24,109,65,129,595,4,8,37
東村山,84,98,418,9,18,83,72,76,318,3,4,17
国分寺,69,138,628,6,12,55,60,120,546,3,6,27
狛江,44,87,417,4,8,38,40,79,379,0,0,0
北多摩西部,71,140,654,12,26,119,54,104,489,5,10,46
清瀬,40,79,361,7,14,65,33,65,296,0,0,0
東久留米,45,87,411,4,8,37,37,71,335,4,8,39
西東京,72,136,643,6,12,55,66,124,588,0,0,0
八王子,292,529,2402,35,70,316,244,435,1978,13,24,108
青梅,66,132,608,11,25,113,52,101,467,3,6,28
町田,184,357,1658,11,19,85,166,326,1517,7,12,56
日野,80,158,714,5,10,45,72,142,641,3,6,28
福生,61,120,560,12,24,112,46,90,419,3,6,29
多摩,57,112,529,3,6,29,51,101,478,3,5,22
秋川,30,60,272,10,23,104,20,37,168,0,0,0
奥多摩,10,21,88,6,12,52,4,9,36,0,0,0
