消防署,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,火災件数・治外法権,"火災件数・管外からの延焼火災",り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,焼損床面積(㎡),林野焼損面積(ａ)
平成30年,3973,2696,64,87,447,2098,2,225,3,0,1046,1,0,2200,174,169,1857,4239,2999,84,102,539,2274,18604,420
令和元年,4089,2904,81,83,455,2285,5,206,1,0,969,3,1,2335,203,171,1961,4395,3284,107,100,583,2494,18295,782
令和2年,3694,2667,63,73,404,2127,1,216,0,0,809,1,0,2239,160,127,1952,4270,3028,73,85,518,2352,16136,14
令和3年,3939,2812,71,76,349,2316,6,215,1,0,901,4,0,2382,223,151,2008,4527,3228,112,93,475,2548,16448,480
令和4年,3953,2850,80,75,387,2308,3,187,3,0,909,1,0,2499,202,152,2145,4786,3259,126,90,524,2519,21974,11
特別区,2897,2130,45,50,284,1751,0,119,3,0,644,1,0,1823,138,97,1588,3472,2418,57,61,391,1909,12063,0
丸の内,50,43,0,0,0,43,0,2,0,0,5,0,0,0,0,0,0,0,43,0,0,0,43,0,0
麹町,32,26,0,0,1,25,0,2,0,0,4,0,0,13,0,4,9,23,26,0,0,1,25,30,0
神田,42,33,0,0,2,31,0,2,0,0,7,0,0,5,0,0,5,9,33,0,0,2,31,35,0
京橋,50,34,0,0,4,30,0,2,0,0,14,0,0,4,0,0,4,9,35,0,0,4,31,48,0
日本橋,35,31,0,0,1,30,0,0,0,0,4,0,0,5,0,0,5,10,31,0,0,1,30,35,0
臨港,22,21,1,0,0,20,0,0,0,0,1,0,0,25,1,1,23,36,25,1,1,2,21,134,0
芝,82,70,0,0,2,68,0,3,0,0,9,0,0,17,0,0,17,22,70,0,0,2,68,0,0
麻布,46,35,0,0,8,27,0,6,0,0,5,0,0,16,0,0,16,26,36,0,0,8,28,25,0
赤坂,48,34,0,0,2,32,0,3,0,0,11,0,0,7,0,0,7,17,34,0,0,2,32,9,0
高輪,23,19,0,0,2,17,0,1,0,0,3,0,0,8,0,0,8,15,19,0,0,2,17,56,0
品川,53,44,0,3,5,36,0,3,0,0,6,0,0,33,0,4,29,67,48,0,3,5,40,85,0
大井,34,25,0,2,3,20,0,1,0,0,8,0,0,34,0,8,26,60,34,0,2,6,26,452,0
荏原,21,20,3,0,2,15,0,1,0,0,0,0,0,23,4,2,17,43,27,4,0,5,18,220,0
大森,61,46,2,1,7,36,0,2,0,0,13,0,0,37,3,4,30,76,52,2,2,10,38,294,0
田園調布,38,31,1,0,8,22,0,1,0,0,6,0,0,39,2,4,33,80,36,1,1,10,24,208,0
蒲田,49,33,1,2,6,24,0,3,0,0,13,0,0,22,0,4,18,35,40,1,2,10,27,152,0
矢口,25,16,0,0,7,9,0,2,0,0,7,0,0,13,0,1,12,20,16,0,0,7,9,58,0
目黒,75,60,0,1,11,48,0,4,0,0,11,0,0,63,15,5,43,119,62,0,1,12,49,254,0
世田谷,91,67,0,5,11,51,0,4,0,0,19,1,0,78,6,2,70,146,78,0,5,18,55,304,0
玉川,36,26,2,0,4,20,0,2,0,0,8,0,0,25,1,0,24,58,33,2,0,7,24,132,0
成城,46,28,0,2,3,23,0,1,0,0,17,0,0,40,8,3,29,87,33,0,2,7,24,114,0
渋谷,141,112,1,0,10,101,0,4,0,0,25,0,0,39,2,2,35,53,114,1,0,10,103,65,0
四谷,28,20,0,0,1,19,0,1,0,0,7,0,0,5,0,0,5,6,20,0,0,1,19,16,0
牛込,24,17,0,0,3,14,0,1,0,0,6,0,0,12,0,0,12,26,18,0,0,3,15,10,0
新宿,129,91,1,1,18,71,0,4,0,0,34,0,0,67,4,0,63,107,95,1,1,19,74,197,0
中野,50,39,2,0,6,31,0,1,0,0,10,0,0,36,2,0,34,62,46,2,0,9,35,116,0
野方,56,46,1,1,5,39,0,2,0,0,8,0,0,46,7,1,38,74,56,1,1,8,46,142,0
杉並,68,51,0,3,9,39,0,1,0,0,16,0,0,55,3,10,42,83,59,0,3,10,46,248,0
荻窪,45,30,0,2,4,24,0,7,0,0,8,0,0,27,0,4,23,57,32,0,2,5,25,109,0
小石川,43,35,0,1,3,31,0,1,0,0,7,0,0,20,1,0,19,36,38,0,1,4,33,45,0
本郷,52,36,0,0,4,32,0,3,0,0,13,0,0,18,0,0,18,40,36,0,0,4,32,4,0
豊島,49,33,0,1,5,27,0,2,0,0,14,0,0,15,0,1,14,22,34,0,1,6,27,43,0
池袋,56,38,1,1,7,29,0,2,0,0,16,0,0,40,3,2,35,52,43,1,1,9,32,356,0
王子,23,14,0,1,4,9,0,2,0,0,7,0,0,31,14,0,17,45,16,0,1,4,11,108,0
赤羽,25,22,1,1,3,17,0,0,0,0,3,0,0,66,1,5,60,166,27,1,1,5,20,135,0
滝野川,32,21,0,2,1,18,0,2,0,0,9,0,0,24,0,2,22,42,26,0,2,2,22,60,0
板橋,62,45,2,0,11,32,0,3,0,0,14,0,0,54,2,3,49,89,53,2,2,12,37,259,0
志村,74,56,2,1,12,41,0,3,0,0,15,0,0,56,1,1,54,116,67,2,1,17,47,369,0
練馬,54,40,1,0,7,32,0,1,0,0,13,0,0,29,0,0,29,66,40,1,0,7,32,62,0
光が丘,28,21,1,0,4,16,0,0,0,0,7,0,0,16,3,0,13,34,22,2,0,4,16,155,0
石神井,58,42,3,3,3,33,0,2,0,0,14,0,0,44,4,3,37,99,58,4,4,7,43,419,0
上野,56,28,0,0,6,22,0,1,0,0,27,0,0,14,1,0,13,27,28,0,0,6,22,26,0
浅草,37,21,0,0,6,15,0,1,0,0,15,0,0,10,0,0,10,23,21,0,0,6,15,16,0
日本堤,25,15,0,0,4,11,0,1,0,0,9,0,0,9,0,0,9,17,15,0,0,4,11,2,0
荒川,33,27,1,0,5,21,0,0,0,0,6,0,0,22,0,0,22,50,31,1,0,6,24,169,0
尾久,20,13,1,2,1,9,0,3,0,0,4,0,0,28,9,0,19,63,26,1,3,4,18,350,0
千住,32,30,0,1,4,25,0,0,0,0,2,0,0,19,0,0,19,40,33,0,1,4,28,91,0
足立,58,42,3,3,6,30,0,3,0,0,13,0,0,44,5,3,36,74,55,3,5,14,33,595,0
西新井,48,33,3,0,3,27,0,3,0,0,12,0,0,41,3,3,35,90,50,4,1,9,36,576,0
本所,73,54,0,0,4,50,0,2,1,0,16,0,0,34,1,0,33,48,54,0,0,4,50,29,0
向島,22,15,3,1,2,9,0,0,0,0,7,0,0,40,6,3,31,81,43,7,2,12,22,2431,0
深川,83,56,0,0,3,53,0,4,2,0,21,0,0,25,1,1,23,42,56,0,0,3,53,20,0
城東,72,54,2,1,6,45,0,2,0,0,16,0,0,63,4,2,57,106,61,2,1,9,49,410,0
本田,81,62,3,3,5,51,0,3,0,0,16,0,0,69,5,3,61,136,85,4,3,13,65,812,0
金町,41,26,1,2,7,16,0,3,0,0,12,0,0,85,4,2,79,216,31,3,2,8,18,357,0
江戸川,56,37,0,1,4,32,0,0,0,0,19,0,0,33,0,1,32,62,37,0,1,4,32,68,0
葛西,60,34,0,0,6,28,0,4,0,0,22,0,0,35,7,1,27,63,35,0,0,7,28,122,0
小岩,44,32,2,2,3,25,0,2,0,0,10,0,0,45,5,2,38,101,46,3,2,11,30,426,0
受託地区,1056,720,35,25,103,557,3,68,0,0,265,0,0,676,64,55,557,1314,841,69,29,133,610,9911,11
立川,81,60,1,1,12,46,0,4,0,0,17,0,0,68,11,2,55,104,63,1,1,12,49,1369,0
武蔵野,54,47,0,1,3,43,0,0,0,0,7,0,0,32,3,1,28,48,53,0,1,7,45,165,0
三鷹,27,22,1,2,2,17,0,3,0,0,2,0,0,28,5,0,23,50,27,1,3,4,19,297,0
府中,50,33,2,1,9,21,0,2,0,0,15,0,0,31,4,1,26,58,37,2,1,10,24,288,0
昭島,12,8,0,0,1,7,0,0,0,0,4,0,0,5,0,0,5,16,8,0,0,1,7,23,0
調布,59,43,1,0,5,37,0,6,0,0,10,0,0,27,3,0,24,49,43,1,0,5,37,165,0
小金井,30,22,1,0,4,17,0,1,0,0,7,0,0,30,4,4,22,51,24,1,0,5,18,130,0
小平,40,26,1,3,5,17,0,4,0,0,10,0,0,23,1,3,19,47,32,2,3,7,20,185,0
東村山,41,32,2,1,5,24,0,1,0,0,8,0,0,28,2,0,26,62,38,2,1,5,30,302,0
国分寺,24,17,1,1,2,13,0,3,0,0,4,0,0,18,1,2,15,39,22,1,1,4,16,236,0
狛江,17,12,0,1,3,8,0,2,0,0,3,0,0,21,3,5,13,32,14,0,1,4,9,153,0
北多摩西部,41,27,4,4,3,16,0,2,0,0,12,0,0,26,4,4,18,57,39,6,5,8,20,682,0
清瀬,16,10,0,0,3,7,0,1,0,0,5,0,0,11,0,0,11,16,10,0,0,3,7,4,0
