救急隊名,件数（件）,1日平均（件）
大久保救急,4180,11.5
江戸川第１救急,4131,11.3
八王子第１救急,3944,10.8
野方第１救急,3899,10.7
豊島救急,3822,10.5
麻布救急,3805,10.4
世田谷救急,3803,10.4
葛西第１救急,3801,10.4
八王子第２救急,3801,10.4
三田救急,3791,10.4
