月,出場件数（件）,１日平均（件）
1,73706,2378
2,65103,2325
3,66783,2154
4,65673,2189
5,67601,2181
6,71688,2390
7,89026,2872
8,79219,2555
9,68160,2272
10,70298,2268
11,72163,2405
12,82655,2666
合計,872075,2389
